,2010 Count,2010 Mean,2010 StD,2010 Min,2010 LQ,2010 Median,2010 UQ,2010 Max,2019 Count,2019 Mean,2019 StD,2019 Min,2019 LQ,2019 Median,2019 UQ,2019 Max
youngAdult,824.0,0.44763911659777883,1.682072277066678,-1.0277738711756028,-0.34980444982720094,0.01541775689378766,0.6421435140034152,14.949827210662885,824.0,0.3711985766922416,1.6395285098893182,-1.1586551591734766,-0.3172970125722554,0.0041206588081869056,0.4373315566856251,14.752515282750265
adult,824.0,0.034794233698180244,1.092852514362611,-7.100070017779373,-0.4345442894090925,0.022425444177899934,0.5703739940185182,5.204203169536321,824.0,0.09619640565630297,1.1516463167491215,-6.958364966367946,-0.45908730650622065,0.034272725652398695,0.6182736398205564,4.212957025194482
elderly,824.0,0.066093132800417,0.7629409273538925,-1.8812331561990179,-0.4822049443259544,-0.0053155776449248515,0.5150814417325523,3.996959038220913,824.0,0.007852952902826652,0.852601540520966,-2.2214096739286098,-0.5840076247455839,-0.03434464979334684,0.5167200539267088,3.949364308692944
ownerOcc,824.0,-0.12047437308002334,0.5916780317028781,-1.5631521574564586,-0.5769285264078086,-0.0413635814483162,0.39933479469978517,0.8438288145877486,824.0,-0.09596049402710109,0.5901187935241771,-1.439453701968993,-0.5706484500031148,-0.03202802869579824,0.4194420616061508,0.9030373431612704
renterOcc,824.0,0.12047437308002337,0.5916780317028782,-0.8438288145877488,-0.39933479469978533,0.04136358144831648,0.5769285264078086,1.563152157456459,824.0,0.09596049402710093,0.5901187935241773,-0.903037343161271,-0.41944206160615094,0.032028028695798294,0.5706484500031146,1.4394537019689928
citizenUS,824.0,-0.1790735266375594,0.6805583199902788,-2.5319339595154817,-0.6170452414406071,-0.019298712649280736,0.3858221818197385,0.7869246066840732,824.0,-0.12283822458963244,0.7002490570272238,-2.53917144284524,-0.6126556936248237,-0.022121376936985238,0.4688599145458956,0.9210521075342477
citizenPR,824.0,0.8318693400495437,2.00100070703253,-0.1918689268907368,-0.1918689268907368,0.019128563797335685,0.8633714702266314,15.715499023120179,824.0,0.7574752261280299,1.7863482460582887,-0.24386868754219243,-0.24386868754219243,0.015031608033321209,0.8829179745934692,12.247755928705095
citizenAbroad,824.0,0.19888793564907628,0.8794639934841388,-0.7396235783728153,-0.41959697896801407,-0.0028540877762022188,0.5666766839410433,5.046254381305188,824.0,0.26641044543335785,1.1827839423184126,-1.1056747669088132,-0.5791283457054275,-0.006567605321803338,0.7919970357672583,6.965800067568268
citizenNaturalized,824.0,0.1429126029412114,0.697311101713028,-0.9593314931476096,-0.42127172712296,0.011712031234981046,0.5791912117274868,2.51378738936383,824.0,0.1377453775306033,0.8276857471134844,-1.2048824969068086,-0.556065745583647,0.025313762742870782,0.6813137867154665,2.7463944099537803
notCitizen,824.0,0.2578593853420832,0.7806294027088697,-0.5918640162211801,-0.3455920557998153,0.0463946521430158,0.699305252251501,4.738226281941305,824.0,0.224564099181381,0.7422742950917407,-0.650922974310584,-0.3476651024819781,0.025526677234048223,0.6196671879327134,3.7704655680830665
single,824.0,0.1792279547816351,0.678004148431636,-0.9453229410012555,-0.3520467657641956,0.030151946910072835,0.624140401408072,3.042656848317639,824.0,0.17977326461839896,0.6613391257931758,-0.9606620840758783,-0.32709740635736567,0.038053644927476316,0.6334155896282729,2.8697501085100674
married,824.0,-0.09576567573817653,0.6431202480287901,-1.9198524253254836,-0.5842987356329721,-0.026312088584169557,0.41194249972886154,1.1563048360880739,824.0,-0.07364620318605723,0.6055115872204219,-1.820633184937746,-0.5020320812395411,-0.01964336174435577,0.3977113852063452,1.2958812730880336
separated,824.0,0.2968016952821871,0.9199663896494921,-0.6929503348470198,-0.35738021906198014,0.037900476226025326,0.6631103259334564,5.32892284707368,824.0,0.23496583652727127,0.7589440308801411,-0.5869070815745288,-0.29265618835063356,0.0150581191260315,0.5037059116525815,4.783540247035781
marriedOther,824.0,0.2430859930927734,0.8392613422922681,-0.7633117510439517,-0.38226447261315427,0.02181661833465709,0.651367800983557,5.042509957479362,824.0,0.21997819950872083,0.7756877795915417,-0.8878602847895887,-0.3346988594888134,0.021098945874452824,0.6093223955435992,3.742521340001326
widowed,824.0,0.08157818954144412,0.8472986536414217,-1.643587449466359,-0.5138188969687518,0.008731267794057085,0.47979507444455316,5.008095251421716,824.0,0.07308010884277794,0.7397674520837244,-1.438562388591655,-0.43428875673279005,-0.0008587338563775804,0.45670819645562816,4.112168886756815
divorced,824.0,0.09372810491823992,0.7254072458443023,-1.7449433832421433,-0.41658996030851286,0.01952905946141159,0.5766982833971409,3.0811235227405023,824.0,0.07645355653179349,0.7406218890576736,-1.8098511711705267,-0.4423175675349961,0.02658249545537772,0.5029066667076136,3.496937668264483
bus,824.0,0.5069800611013244,1.1281334134314438,-0.2683076478681027,-0.22628991979125024,0.013039163573312612,0.8117037049763788,6.7565629906134665,824.0,0.486343607691029,1.1540898684426495,-0.3015546778953886,-0.24306128855136855,0.011902248694157291,0.7463117095498368,6.932802952661941
train,824.0,0.2965868847266741,0.9285483883809993,-0.42109249268280324,-0.42109249268280324,-0.005873846430980184,0.5782058510835492,5.895754643972499,824.0,0.09895465920612515,0.38531414611484566,0.0,0.0,0.0,0.0,5.784368802911397
ferry,824.0,0.0008978110535582061,0.006813642472020274,0.0,0.0,0.0,0.0,0.1017710811525244,824.0,0.0013008700562739926,0.010475810740655159,0.0,0.0,0.0,0.0,0.1484210526315789
taxi,824.0,0.0023431783706713816,0.008264937874360447,0.0,0.0,0.0,0.0,0.1027554535017221,824.0,0.003443491977085549,0.007155432296510954,0.0,0.0,0.0,0.0047694914653204756,0.0613107822410148
