geoid,medianCR
25021456402,1331.0
25021457100,1208.0
25021457200,1437.0
25023500101,1098.0
25023500103,1482.0
25023500104,1178.0
25023501101,760.0
25023501102,1302.0
25023501201,1563.0
25023501202,1832.0
25023502101,811.0
25023502102,720.0
25023502200,1113.0
25023503101,944.0
25023503102,764.0
25023504101,906.0
25023504102,
25023505101,922.0
25023505102,1150.0
25023505200,898.0
25023506101,1386.0
25023506102,1072.0
25023506202,943.0
25023506203,835.0
25023506204,1503.0
25023507101,836.0
25023507103,
25023507104,950.0
25023508101,1251.0
25023508102,888.0
25023508200,389.0
25023509101,843.0
25023509102,1182.0
25023510100,1063.0
25023510200,790.0
25023510300,843.0
25023510400,812.0
25023510501,874.0
25023510502,607.0
25023510503,902.0
25023510600,1205.0
25023510700,880.0
25023510800,890.0
25023510900,476.0
25023511000,877.0
25023511100,1032.0
25023511200,380.0
25023511301,999.0
25023511302,837.0
25023511400,961.0
25023511500,902.0
25023511600,768.0
25023511701,1101.0
25023511702,1055.0
25023520100,1078.0
25023520201,886.0
25023520202,1093.0
25023521101,566.0
25023521102,1056.0
25023521201,839.0
25023521202,943.0
25023522101,946.0
25023522102,822.0
25023523100,832.0
25023523201,886.0
25023523202,667.0
25023524101,867.0
25023524102,755.0
25023525101,1087.0
25023525104,1021.0
25023525203,999.0
25023525204,936.0
25023525300,
25023526100,1006.0
25023530100,1100.0
25023530200,957.0
25023530300,887.0
25023530400,1342.0
25023530500,976.0
25023530600,533.0
25023530700,1085.0
25023530801,639.0
25023530802,1316.0
25023530901,1064.0
25023530902,830.0
25023540101,813.0
25023540102,367.0
25023540103,
25023541100,639.0
25023542101,1279.0
25023542102,572.0
25023542200,867.0
25023542300,868.0
25023543100,1021.0
25023544100,425.0
25023544200,800.0
25023545100,696.0
25023545200,784.0
25023545300,887.0
25023545400,730.0
25023560100,982.0
25023561100,1248.0
25023561200,912.0
25023990003,
25025000100,1266.0
25025000201,1346.0
25025000202,1223.0
25025000301,1407.0
25025000302,1640.0
25025000401,1174.0
25025000402,1432.0
25025000502,1372.0
25025000503,1338.0
25025000504,1280.0
25025000601,1367.0
25025000602,1028.0
25025000701,1230.0
25025000703,1342.0
25025000704,1210.0
25025000802,1377.0
25025000803,1555.0
25025010103,1324.0
25025010104,1294.0
25025010203,1474.0
25025010204,1495.0
25025010300,1146.0
25025010403,1376.0
25025010404,1450.0
25025010405,673.0
25025010408,1260.0
25025010500,1628.0
25025010600,
25025010701,1640.0
25025010702,1514.0
25025010801,1466.0
25025010802,1467.0
25025020101,1618.0
25025020200,1447.0
25025020301,1712.0
25025020302,1627.0
25025020303,1872.0
25025030100,1252.0
25025030200,1079.0
25025030300,1731.0
25025030400,1327.0
25025030500,1599.0
25025040100,1610.0
25025040200,810.0
25025040300,1035.0
25025040401,881.0
25025040600,1362.0
25025040801,377.0
25025050101,822.0
25025050200,916.0
25025050300,322.0
25025050400,875.0
25025050500,994.0
25025050600,938.0
25025050700,1008.0
25025050901,897.0
25025051000,757.0
25025051101,1071.0
25025051200,1044.0
25025060101,1060.0
25025060200,1409.0
25025060301,1183.0
25025060400,974.0
25025060501,1194.0
25025060600,
25025060700,409.0
25025060800,1086.0
25025061000,422.0
25025061101,290.0
25025061200,1200.0
25025070101,1364.0
25025070200,697.0
25025070300,1564.0
25025070402,517.0
25025070500,1268.0
25025070600,1658.0
25025070700,936.0
25025070800,930.0
25025070900,525.0
25025071101,938.0
25025071201,391.0
25025080100,535.0
25025080300,453.0
25025080401,513.0
25025080500,452.0
25025080601,543.0
25025080801,343.0
25025080900,1356.0
25025081001,669.0
25025081100,1209.0
