geoid,medianInc
25017382300,118125.0
25017382400,80843.0
25017382500,79482.0
25017382601,74073.0
25017382602,81779.0
25017383101,45104.0
25017383102,26235.0
25017383200,53435.0
25017383300,63291.0
25017383400,55250.0
25017383501,37600.0
25017383502,63793.0
25017383600,69554.0
25017383700,85500.0
25017383800,95324.0
25017383901,88830.0
25017383902,125820.0
25017384001,89659.0
25017384002,83109.0
25017385100,91893.0
25017385201,72708.0
25017385202,99570.0
25017386100,145250.0
25017387100,111755.0
25017387201,90132.0
25017387202,107679.0
25017388100,102222.0
25017388200,72598.0
25017388300,18002.0
25017980000,
25021400100,71667.0
25021400200,70489.0
25021400300,108109.0
25021400400,63125.0
25021400500,103906.0
25021400600,121673.0
25021400700,121983.0
25021400800,70083.0
25021400900,64948.0
25021401000,78026.0
25021401100,167833.0
25021401200,128993.0
25021402101,87071.0
25021402102,64811.0
25021402200,70625.0
25021402300,82972.0
25021402400,80911.0
25021402500,123438.0
25021403100,129240.0
25021403300,134966.0
25021403400,100259.0
25021403500,99212.0
25021404100,128625.0
25021404201,218667.0
25021404202,179792.0
25021404301,182500.0
25021404302,104365.0
25021404400,105903.0
25021405100,164583.0
25021406101,112375.0
25021406102,133070.0
25021407100,85472.0
25021408101,105417.0
25021408102,93966.0
25021409101,108750.0
25021409102,115343.0
25021410100,95118.0
25021410300,108077.0
25021410400,86121.0
25021411100,93009.0
25021411200,77708.0
25021411301,106219.0
25021411302,83309.0
25021412100,120859.0
25021412200,108646.0
25021412300,115526.0
25021413100,75640.0
25021413200,69076.0
25021413300,81167.0
25021413401,65861.0
25021413402,69018.0
25021413500,74630.0
25021414100,122340.0
25021414200,141479.0
25021414300,77888.0
25021415101,92438.0
25021415102,77352.0
25021415200,82083.0
25021415300,116667.0
25021416101,97766.0
25021416102,96397.0
25021416200,91813.0
25021416300,101042.0
25021416400,106548.0
25021417100,69631.0
25021417200,63229.0
25021417300,68304.0
25021417400,88306.0
25021417501,69028.0
25021417502,54982.0
25021417601,68913.0
25021417602,55083.0
25021417701,48089.0
25021417702,74430.0
25021417801,82641.0
25021417802,20786.0
25021417901,32699.0
25021417902,51155.0
25021418002,59321.0
25021418003,89441.0
25021418004,41193.0
25021418101,61681.0
25021418102,51410.0
25021418200,68698.0
25021419100,86724.0
25021419200,78646.0
25021419300,64133.0
25021419400,59621.0
25021419500,86690.0
25021419600,84510.0
25021419700,74324.0
25021419800,73750.0
25021420100,64313.0
25021420201,63375.0
25021420202,62854.0
25021420301,67500.0
25021420302,66397.0
25021421100,53622.0
25021421200,70951.0
25021422100,96141.0
25021422200,58962.0
25021422301,74286.0
25021422302,73217.0
25021422400,58260.0
25021422501,54861.0
25021422502,54229.0
25021422600,78421.0
25021422700,73250.0
25021422800,61527.0
25021423100,114214.0
25021440100,73645.0
25021441202,123125.0
25021441203,75788.0
25021441204,95552.0
25021442101,86471.0
25021442102,83654.0
25021442103,110293.0
25021442201,116161.0
25021442202,77361.0
25021443101,80682.0
25021443102,74417.0
25021456101,99732.0
25021456102,59877.0
25021456200,71750.0
25021456301,64173.0
25021456302,46855.0
25021456401,47418.0
25021456402,87308.0
25021457100,67313.0
25021457200,112361.0
25023500101,82428.0
25023500103,74227.0
25023500104,57470.0
25023501101,71205.0
25023501102,99269.0
25023501201,126319.0
25023501202,99750.0
25023502101,55593.0
25023502102,62231.0
25023502200,71075.0
25023503101,124583.0
25023503102,84331.0
25023504101,96250.0
25023504102,118125.0
25023505101,98480.0
25023505102,104125.0
25023505200,75170.0
25023506101,86005.0
25023506102,95700.0
25023506202,106102.0
25023506203,74091.0
25023506204,74786.0
25023507101,109394.0
25023507103,139643.0
