medianInc,geoid
156284.0,25023507103
115143.0,25023507104
99628.0,25023508101
99821.0,25023508102
106496.0,25023508200
113333.0,25023509101
86386.0,25023509102
78603.0,25023510100
79821.0,25023510200
35060.0,25023510300
47679.0,25023510400
54683.0,25023510501
33495.0,25023510502
48972.0,25023510503
119464.0,25023510600
76406.0,25023510700
55714.0,25023510800
14464.0,25023510900
57891.0,25023511000
78086.0,25023511100
50259.0,25023511200
61500.0,25023511301
76000.0,25023511302
52846.0,25023511400
58340.0,25023511500
53255.0,25023511600
78472.0,25023511701
86488.0,25023511702
112969.0,25023520100
73816.0,25023520201
102071.0,25023520202
90935.0,25023521101
76321.0,25023521102
85867.0,25023521201
92688.0,25023521202
92089.0,25023522101
98364.0,25023522102
90479.0,25023523100
98810.0,25023523201
89280.0,25023523202
103698.0,25023524101
92708.0,25023524102
84750.0,25023525101
115172.0,25023525104
71369.0,25023525203
128750.0,25023525204
,25023525300
92774.0,25023526100
63362.0,25023530100
61179.0,25023530200
69261.0,25023530300
97895.0,25023530400
70924.0,25023530500
112292.0,25023530600
102809.0,25023530700
108333.0,25023530801
88838.0,25023530802
93346.0,25023530901
115493.0,25023530902
76690.0,25023540101
102708.0,25023540102
150972.0,25023540103
104041.0,25023541100
104031.0,25023542101
80938.0,25023542102
78496.0,25023542200
66525.0,25023542300
94167.0,25023543100
95573.0,25023544100
58072.0,25023544200
78987.0,25023545100
63566.0,25023545200
60612.0,25023545300
63867.0,25023545400
94360.0,25023560100
81928.0,25023561100
37788.0,25023561200
,25023990003
90980.0,25025000100
93583.0,25025000201
79783.0,25025000202
126845.0,25025000301
101958.0,25025000302
72739.0,25025000401
94063.0,25025000402
65455.0,25025000502
74242.0,25025000503
62148.0,25025000504
87500.0,25025000601
40781.0,25025000602
67181.0,25025000701
43163.0,25025000703
63761.0,25025000704
60772.0,25025000802
54821.0,25025000803
32464.0,25025010103
58750.0,25025010104
41544.0,25025010203
41667.0,25025010204
43313.0,25025010300
31071.0,25025010403
26875.0,25025010404
19000.0,25025010405
66389.0,25025010408
54278.0,25025010500
89886.0,25025010600
117875.0,25025010701
163938.0,25025010702
123594.0,25025010801
131518.0,25025010802
118250.0,25025020101
94172.0,25025020200
76563.0,25025020301
145625.0,25025020302
106293.0,25025020303
102426.0,25025030100
95703.0,25025030200
143153.0,25025030300
100281.0,25025030400
117500.0,25025030500
152917.0,25025040100
65500.0,25025040200
140313.0,25025040300
120234.0,25025040401
142563.0,25025040600
54917.0,25025040801
51230.0,25025050101
60739.0,25025050200
26842.0,25025050300
67045.0,25025050400
58910.0,25025050500
67841.0,25025050600
68384.0,25025050700
56141.0,25025050901
54174.0,25025051000
69145.0,25025051101
83952.0,25025051200
132305.0,25025060101
140592.0,25025060200
134792.0,25025060301
135750.0,25025060400
137554.0,25025060501
155379.0,25025060600
18179.0,25025060700
124545.0,25025060800
38056.0,25025061000
15576.0,25025061101
153869.0,25025061200
85333.0,25025070101
28646.0,25025070200
115887.0,25025070300
36333.0,25025070402
62717.0,25025070500
160750.0,25025070600
134085.0,25025070700
94653.0,25025070800
53000.0,25025070900
73995.0,25025071101
55179.0,25025071201
32258.0,25025080100
42617.0,25025080300
18602.0,25025080401
30047.0,25025080500
17594.0,25025080601
20500.0,25025080801
61528.0,25025080900
31917.0,25025081001
