total (education),geoid,noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
2954,25017368102,24,37,128,1269,217,667,419,88,105
3283,25017368200,5,72,24,961,334,983,692,69,143
3879,25017368300,100,69,183,1310,263,989,911,34,20
4022,25017368400,23,161,114,916,78,1628,734,135,233
2254,25017368500,62,86,193,652,83,595,420,52,111
4060,25017368600,75,189,177,1176,220,1225,832,76,90
1905,25017368700,129,22,194,634,71,452,309,23,71
4124,25017368800,240,90,198,1324,152,1198,720,137,65
3755,25017368901,0,12,64,1273,367,1190,676,51,122
2579,25017368902,0,86,86,932,130,574,652,73,46
1194,25017369000,18,11,51,495,79,268,200,35,37
3851,25017369100,15,64,174,1330,252,1156,639,106,115
5432,25017370101,107,96,258,1670,296,1292,1172,239,302
7213,25017370102,50,51,158,1676,390,2527,1506,418,437
2975,25017370201,20,26,8,434,127,1082,816,223,239
3259,25017370202,23,82,40,775,186,1229,565,163,196
4745,25017370300,18,125,84,1065,255,1390,1452,136,220
4221,25017370400,54,51,129,953,279,1472,849,294,140
3866,25017373100,1,82,29,562,200,1432,940,314,306
3550,25017373200,7,208,86,1080,148,1088,640,109,184
2185,25017373300,26,45,30,414,70,642,581,111,266
2393,25017373400,18,0,0,255,40,814,897,144,225
3598,25017373500,0,0,26,385,93,1037,1059,550,448
2007,25017373600,0,0,22,219,70,629,527,252,288
2652,25017373700,0,0,0,163,52,714,804,488,431
4265,25017373800,13,0,2,324,50,1237,1349,736,554
4648,25017373900,23,74,0,540,247,1525,1047,748,444
3237,25017374000,26,0,19,533,87,1035,812,332,393
3617,25017374100,20,4,103,813,121,940,987,311,318
3067,25017374200,28,0,29,251,68,888,939,356,508
2495,25017374300,26,11,8,148,27,772,691,360,452
3903,25017374400,9,37,28,456,57,1142,1108,601,465
3182,25017374500,18,22,25,794,113,893,747,240,330
3606,25017374600,0,50,97,744,183,1027,971,230,304
3232,25017374700,76,11,77,700,127,955,719,260,307
2716,25017374800,14,11,45,423,94,613,825,227,464
3513,25017382100,0,2,66,955,233,1219,745,153,140
3757,25017382200,128,4,120,857,239,1057,1123,171,58
4282,25017382300,0,24,8,719,170,1509,1302,306,244
3734,25017382400,0,53,50,1176,179,989,893,203,191
3628,25017382500,19,13,44,944,171,1223,1026,111,77
3457,25017382601,26,23,38,554,138,1039,1288,125,226
3247,25017382602,0,8,114,743,179,1193,618,175,217
2595,25017383101,79,337,352,1304,64,372,53,23,11
3004,25017383102,13,441,367,1636,134,289,71,15,38
4425,25017383200,54,265,305,2255,225,874,252,90,105
2550,25017383300,60,16,207,1136,68,548,351,164,0
4813,25017383400,125,328,258,2362,206,937,445,83,69
3725,25017383501,69,159,221,1710,156,713,553,37,107
1780,25017383502,26,15,9,491,151,639,318,79,52
4791,25017383600,67,165,258,1603,130,1449,791,160,168
3752,25017383700,9,0,71,1321,150,1225,705,62,209
4663,25017383800,33,15,85,1444,270,1485,1007,139,185
6136,25017383901,12,185,113,1808,377,2340,913,160,228
3969,25017383902,11,63,29,919,309,1090,1010,330,208
1074,25017384001,5,5,13,374,61,325,186,62,43
4425,25017384002,0,99,73,1245,188,1630,767,208,215
5176,25017385100,0,61,191,1584,310,1441,1117,124,348
1964,25017385201,20,78,15,879,82,499,290,30,71
5446,25017385202,16,14,139,1426,402,1759,1240,281,169
2979,25017386100,0,0,8,422,59,1015,980,298,197
2910,25017387100,18,36,20,750,228,1056,677,50,75
4171,25017387201,35,9,32,1126,315,1418,943,127,166
2964,25017387202,26,17,36,573,172,1109,775,135,121
3876,25017388100,28,46,86,797,354,1095,1049,95,326
6028,25017388200,0,165,446,3430,516,1040,355,29,47
2468,25017388300,117,333,552,1035,45,149,203,22,12
