total (occupation),geoid,top_occ,service,sales,nat_construction,production
2034,25017331101,927,293,498,139,177
3929,25017331102,2069,403,872,304,281
3470,25017331200,1718,454,670,294,334
3861,25017331300,1950,390,873,222,426
3515,25017332100,1929,453,735,235,163
5120,25017332200,2885,590,967,303,375
3990,25017332300,1793,678,951,357,211
2050,25017332400,1239,151,400,75,185
4345,25017333100,1885,799,1156,203,302
2805,25017333200,1243,453,619,234,256
2136,25017333300,791,602,318,237,188
3731,25017333400,1684,810,740,276,221
3317,25017333501,1501,443,739,209,425
1862,25017333502,846,328,346,189,153
4967,25017333600,2521,1031,798,219,398
3638,25017334100,2308,345,696,147,142
2176,25017334200,1334,201,501,65,75
4204,25017334300,2886,316,596,233,173
3575,25017334400,2393,275,625,188,94
3151,25017335100,1884,326,540,198,203
3575,25017335200,1898,460,776,141,300
2669,25017335301,1327,402,659,79,202
2949,25017335302,1482,377,750,265,75
3004,25017335400,1820,287,674,131,92
3156,25017336100,2029,280,604,92,151
3230,25017336200,2098,295,650,146,41
3881,25017336300,2321,612,584,100,264
3447,25017336401,2133,499,518,100,197
2478,25017336402,1730,172,324,140,112
1623,25017337101,1000,139,224,106,154
3283,25017337102,1742,458,664,280,139
1921,25017337201,915,280,400,139,187
2735,25017337202,1663,264,482,246,80
3861,25017337300,1750,543,708,400,460
1542,25017338100,1133,129,238,26,16
2021,25017338200,1327,193,299,132,70
1446,25017338300,970,122,284,21,49
3086,25017338400,2353,199,420,60,54
2871,25017338500,2104,141,536,48,42
3346,25017339100,2088,357,492,204,205
3770,25017339200,2333,554,593,46,244
1500,25017339300,833,247,249,79,92
2369,25017339400,1573,255,249,139,153
3240,25017339500,1725,552,674,164,125
3965,25017339600,2230,499,939,69,228
2386,25017339700,1169,447,519,77,174
3012,25017339801,1938,217,585,141,131
3004,25017339802,1930,390,455,88,141
3222,25017339900,1588,609,633,205,187
1488,25017340000,818,198,362,71,39
3420,25017340100,1935,622,469,97,297
2389,25017341101,1328,419,442,106,94
2522,25017341102,1606,373,269,51,223
3910,25017341200,1320,1088,773,299,430
2654,25017341300,1410,577,471,56,140
3569,25017341400,1124,1119,701,199,426
2904,25017341500,1052,892,407,275,278
3277,25017341600,1632,553,663,162,267
2714,25017341700,1278,363,535,183,355
2862,25017341800,912,957,282,256,455
760,25017341901,265,122,152,123,98
4793,25017341902,2488,778,1079,175,273
2647,25017342101,681,793,601,162,410
2101,25017342102,516,602,448,265,270
2797,25017342201,610,842,399,515,431
2122,25017342202,648,551,419,185,319
4331,25017342300,1338,1349,853,324,467
4161,25017342400,1269,1271,700,198,723
4387,25017342500,1291,1190,599,819,488
2672,25017342600,445,805,506,319,597
1614,25017350103,895,185,307,106,121
4181,25017350104,1621,993,612,356,599
4689,25017350200,2274,1013,828,414,160
2189,25017350300,1537,291,277,14,70
4416,25017350400,3484,186,634,61,51
1147,25017350500,807,67,202,26,45
2869,25017350600,1799,451,551,17,51
3419,25017350700,2214,509,464,20,212
1658,25017350800,1287,127,204,6,34
3102,25017350900,2456,149,375,40,82
5668,25017351000,4547,339,486,48,248
4133,25017351100,3162,326,456,28,161
3228,25017351203,2484,283,270,59,132
3220,25017351204,2436,315,308,25,136
2748,25017351300,1564,368,455,84,277
3137,25017351403,1426,840,479,146,246
2373,25017351404,977,429,406,308,253
1578,25017351500,806,402,249,75,46
1846,25017352101,1515,52,261,11,7
1652,25017352102,1380,83,168,13,8
1017,25017352200,789,104,50,12,62
2790,25017352300,2204,197,294,30,65
1099,25017352400,586,212,163,37,101
2151,25017352500,1593,106,380,49,23
1972,25017352600,1403,140,375,18,36
1295,25017352700,673,287,222,25,88
1647,25017352800,1175,141,240,15,76
1930,25017352900,1650,63,181,29,7
2507,25017353000,2009,214,193,55,36
1752,25017353101,1382,146,148,8,68
2664,25017353102,1771,299,551,25,18
3176,25017353200,2691,155,269,22,39
3116,25017353300,2530,181,335,44,26
2017,25017353400,1319,288,228,50,132
1685,25017353500,1292,135,140,73,45
2659,25017353600,2032,233,333,35,26
2994,25017353700,2227,304,385,29,49
2820,25017353800,2489,63,214,37,17
3159,25017353900,2182,347,531,38,61
2657,25017354000,2111,106,342,59,39
1683,25017354100,1340,113,174,7,49
1577,25017354200,1364,31,182,0,0
1985,25017354300,1505,233,222,10,15
1067,25017354400,813,55,126,50,23
1639,25017354500,1365,60,179,35,0
3566,25017354600,2739,301,300,31,195
1793,25017354700,1424,91,208,29,41
1707,25017354800,1380,79,187,25,36
4732,25017354900,2940,447,842,111,392
1994,25017355000,1480,139,256,49,70
2096,25017356100,1456,154,364,71,51
3205,25017356300,2231,294,426,121,133
4111,25017356400,2822,418,530,167,174
3780,25017356500,2667,389,586,81,57
2486,25017356601,1627,335,434,59,31
2548,25017356602,1876,141,396,43,92
3558,25017356701,2503,442,393,86,134
3609,25017356702,2336,353,818,62,40
2211,25017357100,1773,99,289,14,36
1671,25017357200,1259,142,188,29,53
1849,25017357300,1296,118,345,37,53
1174,25017357400,954,49,122,31,18
1255,25017357500,933,70,220,10,22
1349,25017357600,942,103,207,39,58
1924,25017357700,1177,267,377,35,68
1824,25017357800,1287,180,222,28,107
2656,25017358100,2188,81,292,38,57
2515,25017358300,2214,70,174,12,45
2481,25017358400,1978,225,213,0,65
2660,25017358500,2053,150,283,52,122
3166,25017358600,2324,339,312,42,149
2591,25017358700,2136,165,265,8,17
3310,25017359100,2316,222,611,35,126
3632,25017359300,2662,438,396,63,73
348,25017360100,216,42,72,0,18
2233,25017360200,1856,187,159,12,19
2447,25017361100,1858,96,367,38,88
2834,25017361200,2046,237,366,115,70
2865,25017361300,2229,159,360,92,25
2574,25017362100,1936,198,285,118,37
3493,25017363102,2459,394,415,54,171
1759,25017363103,1225,206,210,18,100
3405,25017363104,2727,156,405,56,61
1634,25017363201,1152,145,247,40,50
1927,25017363202,1279,95,441,82,30
3262,25017364101,1772,420,699,220,151
2995,25017364102,1739,378,463,218,197
3942,25017365100,2695,239,780,104,124
3232,25017365201,2180,218,693,27,114
2233,25017365202,1423,242,509,48,11
2473,25017366100,1761,128,399,61,124
1970,25017366201,1487,179,228,21,55
2643,25017366202,1896,244,409,45,49
1943,25017367100,1604,88,176,75,0
2923,25017367200,1903,179,644,51,146
4090,25017368101,2378,367,910,163,272
2452,25017368102,1329,356,375,237,155
2581,25017368200,1479,442,502,80,78
3340,25017368300,1889,407,580,132,332
4661,25017368400,2630,658,1163,119,91
1987,25017368500,984,522,194,133,154
3667,25017368600,1793,630,714,315,215
1725,25017368700,564,578,202,107,274
3364,25017368800,1957,638,412,25,332
3641,25017368901,1897,439,954,192,159
2460,25017368902,1076,513,528,149,194
729,25017369000,369,103,193,40,24
3132,25017369100,1677,429,751,146,129
4265,25017370101,2382,591,913,273,106
5954,25017370102,3839,689,1036,201,189
2207,25017370201,1702,175,238,31,61
2659,25017370202,1682,252,409,145,171
3526,25017370300,2129,400,619,47,331
3436,25017370400,2170,376,676,111,103
2833,25017373100,2312,137,270,57,57
3109,25017373200,1600,526,662,192,129
1831,25017373300,1209,276,210,71,65
1849,25017373400,1361,135,315,19,19
2706,25017373500,1929,250,454,11,62
2864,25017373600,1753,417,608,44,42
2044,25017373700,1613,113,294,16,8
3145,25017373800,2527,228,280,45,65
2981,25017373900,2241,105,546,43,46
2610,25017374000,1935,150,436,57,32
2707,25017374100,1916,142,533,34,82
2287,25017374200,1811,115,277,42,42
1832,25017374300,1509,72,185,58,8
2731,25017374400,2208,108,342,36,37
2356,25017374500,1721,167,213,104,151
3183,25017374600,2001,450,507,90,135
2652,25017374700,1604,325,497,103,123
2510,25017374800,1582,302,557,20,49
2621,25017382100,1608,345,492,45,131
3139,25017382200,1953,446,449,185,106
3281,25017382300,2409,183,531,83,75
2828,25017382400,1706,487,434,104,97
2914,25017382500,1789,312,583,96,134
2993,25017382601,2393,233,214,24,129
2245,25017382602,1471,244,351,106,73
2031,25017383101,236,904,280,404,207
2504,25017383102,391,983,526,313,291
3713,25017383200,1063,834,891,671,254
1740,25017383300,785,237,313,335,70
3953,25017383400,937,1594,378,622,422
2791,25017383501,1159,734,565,139,194
2221,25017383502,996,575,441,64,145
3784,25017383600,1946,797,635,244,162
3200,25017383700,1744,487,669,128,172
3666,25017383800,1952,429,821,117,347
4220,25017383901,2266,562,868,257,267
3064,25017383902,1901,395,558,145,65
849,25017384001,457,102,171,22,97
3461,25017384002,2015,398,459,316,273
4259,25017385100,2512,604,664,158,321
1591,25017385201,752,363,252,130,94
4470,25017385202,2772,318,891,324,165
2284,25017386100,1750,132,281,89,32
2307,25017387100,1455,248,318,108,178
3446,25017387201,2030,498,497,244,177
2247,25017387202,1394,205,459,117,72
3138,25017388100,2216,238,412,77,195
3390,25017388200,1330,612,821,289,338
2178,25017388300,625,574,554,81,344
0,25017980000,0,0,0,0,0
2822,25021400100,2133,282,306,0,101
3254,25021400200,2582,121,483,39,29
2649,25021400300,1882,298,368,45,56
3240,25021400400,2477,168,421,21,153
3456,25021400500,2762,162,429,82,21
3396,25021400600,2742,163,406,40,45
1992,25021400700,1608,80,288,11,5
2751,25021400800,2142,201,297,44,67
2320,25021400900,1880,149,156,65,70
1830,25021401000,1338,193,253,11,35
1739,25021401100,1363,94,145,34,103
3208,25021401200,2452,273,472,4,7
2125,25021402101,1315,170,394,131,115
2524,25021402102,1166,392,576,192,198
1392,25021402200,555,253,321,136,127
2366,25021402300,1259,387,491,146,83
3511,25021402400,2048,305,864,88,206
