geoid,medianValue
25021417602,378600.0
25021417701,352300.0
25021417702,387000.0
25021417801,360700.0
25021417802,331200.0
25021417901,276100.0
25021417902,367500.0
25021418002,364300.0
25021418003,347500.0
25021418004,318600.0
25021418101,431100.0
25021418102,332100.0
25021418200,360700.0
25021419100,399600.0
25021419200,373800.0
25021419300,333000.0
25021419400,333500.0
25021419500,435700.0
25021419600,387600.0
25021419700,388800.0
25021419800,365700.0
25021420100,296400.0
25021420201,330900.0
25021420202,316800.0
25021420301,315300.0
25021420302,343200.0
25021421100,302800.0
25021421200,313300.0
25021422100,382800.0
25021422200,340200.0
25021422301,364100.0
25021422302,289100.0
25021422400,349000.0
25021422501,305100.0
25021422502,303300.0
25021422600,348900.0
25021422700,324200.0
25021422800,357400.0
25021423100,735300.0
25021440100,342100.0
25021441202,548900.0
25021441203,369500.0
25021441204,420800.0
25021442101,367600.0
25021442102,350300.0
25021442103,422900.0
25021442201,500700.0
25021442202,384000.0
25021443101,303700.0
25021443102,314900.0
25021456101,355900.0
25021456102,339200.0
25021456200,360800.0
25021456301,242400.0
25021456302,273000.0
25021456401,330300.0
25021456402,385500.0
25021457100,329000.0
25021457200,631700.0
25023500101,432600.0
25023500103,340000.0
25023500104,347100.0
25023501101,704200.0
25023501102,605800.0
25023501201,677100.0
25023501202,610800.0
25023502101,327100.0
25023502102,305100.0
25023502200,301600.0
25023503101,476600.0
25023503102,464500.0
25023504101,514000.0
25023504102,671300.0
25023505101,491800.0
25023505102,518500.0
25023505200,545600.0
25023506101,472800.0
25023506102,470600.0
25023506202,451800.0
25023506203,379800.0
25023506204,357800.0
25023507101,490000.0
25023507103,796500.0
25023507104,657800.0
25023508101,390400.0
25023508102,327800.0
25023508200,395000.0
25023509101,444600.0
25023509102,383600.0
25023510100,247000.0
25023510200,286300.0
25023510300,243400.0
25023510400,296900.0
25023510501,239000.0
25023510502,222700.0
25023510503,293900.0
25023510600,333000.0
25023510700,310100.0
25023510800,322600.0
25023510900,427500.0
25023511000,267000.0
25023511100,250800.0
25023511200,284000.0
25023511301,269500.0
25023511302,252800.0
25023511400,291300.0
25023511500,276200.0
25023511600,299500.0
25023511701,266900.0
25023511702,292800.0
25023520100,328100.0
25023520201,333300.0
25023520202,371700.0
25023521101,311800.0
25023521102,336000.0
25023521201,315700.0
25023521202,323900.0
25023522101,343700.0
25023522102,388600.0
25023523100,361000.0
25023523201,349200.0
25023523202,333900.0
25023524101,367200.0
25023524102,333800.0
25023525101,353400.0
25023525104,387800.0
25023525203,345300.0
25023525204,391800.0
25023525300,
25023526100,325500.0
25023530100,316100.0
25023530200,308300.0
25023530300,344900.0
25023530400,345900.0
25023530500,395200.0
25023530600,376100.0
25023530700,485900.0
25023530801,383800.0
25023530802,329200.0
25023530901,318500.0
25023530902,369100.0
25023540101,394200.0
25023540102,348100.0
