medianCR,geoid
1589.0,25021416102
1512.0,25021416200
858.0,25021416300
2917.0,25021416400
1409.0,25021417100
1629.0,25021417200
1639.0,25021417300
1170.0,25021417400
1470.0,25021417501
1193.0,25021417502
1310.0,25021417601
1220.0,25021417602
1315.0,25021417701
1493.0,25021417702
1302.0,25021417801
518.0,25021417802
1264.0,25021417901
1420.0,25021417902
1514.0,25021418002
1767.0,25021418003
1397.0,25021418004
1475.0,25021418101
1360.0,25021418102
1486.0,25021418200
1790.0,25021419100
1265.0,25021419200
1000.0,25021419300
1315.0,25021419400
1623.0,25021419500
2488.0,25021419600
,25021419700
1127.0,25021419800
1663.0,25021420100
,25021420201
1257.0,25021420202
1122.0,25021420301
1416.0,25021420302
445.0,25021421100
965.0,25021421200
1484.0,25021422100
1393.0,25021422200
537.0,25021422301
1620.0,25021422302
1128.0,25021422400
1459.0,25021422501
1099.0,25021422502
1534.0,25021422600
1330.0,25021422700
1435.0,25021422800
1359.0,25021423100
1423.0,25021440100
,25021441202
1016.0,25021441203
1015.0,25021441204
1292.0,25021442101
1274.0,25021442102
,25021442103
1708.0,25021442201
998.0,25021442202
1179.0,25021443101
1037.0,25021443102
1557.0,25021456101
1200.0,25021456102
1620.0,25021456200
1198.0,25021456301
1531.0,25021456302
1150.0,25021456401
1814.0,25021456402
1083.0,25021457100
1593.0,25021457200
1258.0,25023500101
1638.0,25023500103
1054.0,25023500104
1353.0,25023501101
1701.0,25023501102
,25023501201
2338.0,25023501202
1297.0,25023502101
692.0,25023502102
1284.0,25023502200
,25023503101
988.0,25023503102
715.0,25023504101
,25023504102
,25023505101
1183.0,25023505102
1190.0,25023505200
,25023506101
1612.0,25023506102
1219.0,25023506202
774.0,25023506203
1390.0,25023506204
1617.0,25023507101
1703.0,25023507103
1672.0,25023507104
1668.0,25023508101
1333.0,25023508102
962.0,25023508200
1106.0,25023509101
1087.0,25023509102
1399.0,25023510100
1139.0,25023510200
1018.0,25023510300
962.0,25023510400
1025.0,25023510501
651.0,25023510502
1118.0,25023510503
1411.0,25023510600
1163.0,25023510700
1021.0,25023510800
288.0,25023510900
864.0,25023511000
1314.0,25023511100
618.0,25023511200
1001.0,25023511301
735.0,25023511302
1050.0,25023511400
1131.0,25023511500
752.0,25023511600
841.0,25023511701
1132.0,25023511702
1254.0,25023520100
1138.0,25023520201
1022.0,25023520202
764.0,25023521101
1124.0,25023521102
1151.0,25023521201
1086.0,25023521202
1054.0,25023522101
,25023522102
1029.0,25023523100
927.0,25023523201
862.0,25023523202
1098.0,25023524101
1094.0,25023524102
1453.0,25023525101
1489.0,25023525104
1434.0,25023525203
1929.0,25023525204
,25023525300
,25023526100
,25023530100
1254.0,25023530200
1214.0,25023530300
1438.0,25023530400
1185.0,25023530500
1556.0,25023530600
1642.0,25023530700
1365.0,25023530801
1090.0,25023530802
1352.0,25023530901
1560.0,25023530902
1440.0,25023540101
975.0,25023540102
,25023540103
985.0,25023541100
1181.0,25023542101
964.0,25023542102
1164.0,25023542200
1135.0,25023542300
1014.0,25023543100
1385.0,25023544100
1102.0,25023544200
1137.0,25023545100
1038.0,25023545200
1229.0,25023545300
781.0,25023545400
1186.0,25023560100
1029.0,25023561100
788.0,25023561200
,25023990003
1785.0,25025000100
2010.0,25025000201
1706.0,25025000202
2232.0,25025000301
1990.0,25025000302
1505.0,25025000401
1793.0,25025000402
1615.0,25025000502
1778.0,25025000503
1603.0,25025000504
1704.0,25025000601
1459.0,25025000602
1795.0,25025000701
1734.0,25025000703
1770.0,25025000704
1780.0,25025000802
2377.0,25025000803
1785.0,25025010103
1881.0,25025010104
2037.0,25025010203
1811.0,25025010204
1790.0,25025010300
1877.0,25025010403
1779.0,25025010404
527.0,25025010405
1957.0,25025010408
2094.0,25025010500
2549.0,25025010600
1973.0,25025010701
2384.0,25025010702
2115.0,25025010801
2154.0,25025010802
2268.0,25025020101
2053.0,25025020200
2477.0,25025020301
2248.0,25025020302
2825.0,25025020303
1731.0,25025030100
1747.0,25025030200
2782.0,25025030300
1812.0,25025030400
2002.0,25025030500
,25025040100
817.0,25025040200
1701.0,25025040300
1129.0,25025040401
2332.0,25025040600
622.0,25025040801
1041.0,25025050101
1375.0,25025050200
641.0,25025050300
1467.0,25025050400
1574.0,25025050500
1385.0,25025050600
1577.0,25025050700
1395.0,25025050901
1153.0,25025051000
1439.0,25025051101
1455.0,25025051200
2008.0,25025060101
2250.0,25025060200
2049.0,25025060301
1848.0,25025060400
1617.0,25025060501
3028.0,25025060600
429.0,25025060700
1794.0,25025060800
525.0,25025061000
405.0,25025061101
2286.0,25025061200
2498.0,25025070101
802.0,25025070200
1608.0,25025070300
1137.0,25025070402
854.0,25025070500
2634.0,25025070600
1739.0,25025070700
2310.0,25025070800
1133.0,25025070900
1088.0,25025071101
568.0,25025071201
1026.0,25025080100
931.0,25025080300
518.0,25025080401
499.0,25025080500
624.0,25025080601
496.0,25025080801
2028.0,25025080900
1157.0,25025081001
1554.0,25025081100
458.0,25025081200
444.0,25025081300
1496.0,25025081400
900.0,25025081500
745.0,25025081700
603.0,25025081800
922.0,25025081900
1024.0,25025082000
570.0,25025082100
733.0,25025090100
789.0,25025090200
971.0,25025090300
713.0,25025090400
1265.0,25025090600
1268.0,25025090700
1962.0,25025090901
1521.0,25025091001
1633.0,25025091100
1131.0,25025091200
1036.0,25025091300
845.0,25025091400
1131.0,25025091500
1316.0,25025091600
1309.0,25025091700
1158.0,25025091800
1319.0,25025091900
1291.0,25025092000
1328.0,25025092101
1272.0,25025092200
1313.0,25025092300
734.0,25025092400
1110.0,25025100100
1448.0,25025100200
1425.0,25025100300
1287.0,25025100400
1335.0,25025100500
1493.0,25025100601
1441.0,25025100603
1100.0,25025100700
1475.0,25025100800
1592.0,25025100900
1210.0,25025101001
1191.0,25025101002
1552.0,25025101101
1408.0,25025101102
1462.0,25025110103
1000.0,25025110201
1380.0,25025110301
1365.0,25025110401
1552.0,25025110403
1419.0,25025110501
1461.0,25025110502
1152.0,25025110601
1695.0,25025110607
2196.0,25025120103
1716.0,25025120104
2681.0,25025120105
1515.0,25025120201
1726.0,25025120301
1594.0,25025120400
1417.0,25025120500
2137.0,25025120600
1753.0,25025120700
1663.0,25025130100
1605.0,25025130200
1535.0,25025130300
,25025130402
1637.0,25025130404
1117.0,25025130406
1156.0,25025140102
1578.0,25025140105
1015.0,25025140106
775.0,25025140107
1268.0,25025140201
1138.0,25025140202
1352.0,25025140300
1369.0,25025140400
1353.0,25025160101
1353.0,25025160200
1501.0,25025160300
1275.0,25025160400
1188.0,25025160501
1180.0,25025160502
1433.0,25025160601
1152.0,25025160602
1355.0,25025170100
850.0,25025170200
1482.0,25025170300
971.0,25025170400
1656.0,25025170501
1047.0,25025170502
1161.0,25025170601
1121.0,25025170701
1299.0,25025170702
1314.0,25025170800
1226.0,25025180101
1123.0,25025180200
1317.0,25025180301
1553.0,25025180400
1278.0,25025180500
,25025980101
,25025980300
,25025980700
,25025981000
1465.0,25025981100
,25025981201
,25025981202
2105.0,25025981300
,25025981501
,25025981502
,25025981600
,25025981700
,25025981800
,25025990101
