geoid,total (education),noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
25017351203,3032,34,142,64,721,63,961,769,99,179
25017351204,2974,12,142,118,810,41,877,564,185,225
25017351300,3424,97,142,68,1483,303,757,379,135,60
25017351403,2462,62,167,210,1075,150,613,126,45,14
25017351404,2438,179,155,264,1048,166,346,176,58,46
25017351500,1713,8,182,379,781,9,201,105,11,37
25017352101,973,0,14,0,143,6,299,241,205,65
25017352102,2003,0,63,94,447,74,634,355,151,185
25017352200,1585,66,74,116,511,103,365,153,91,106
25017352300,2204,44,82,125,485,36,666,426,149,191
25017352400,1313,9,140,62,469,61,312,184,24,52
25017352500,2473,33,28,104,920,26,620,449,93,200
25017352600,1613,25,93,50,654,0,302,249,89,151
25017352700,1486,63,134,133,487,19,293,253,21,83
25017352800,1957,38,32,87,489,111,649,320,61,170
25017352900,2300,31,0,46,461,42,600,601,180,339
25017353000,3115,135,127,95,484,110,996,600,242,326
25017353101,1624,0,50,99,315,61,580,406,19,94
25017353102,1376,0,25,0,58,8,363,653,112,157
25017353200,2549,0,54,67,479,27,716,612,204,390
25017353300,3524,46,69,78,688,135,1187,741,206,374
25017353400,2245,9,73,62,545,58,701,492,107,198
25017353500,1987,84,57,33,369,49,634,469,144,148
25017353600,2526,0,0,14,81,15,726,941,332,417
25017353700,2868,0,30,18,265,100,1065,758,118,514
25017353800,3671,20,21,11,191,126,1149,1134,330,689
25017353900,2006,0,0,9,158,46,694,723,173,203
25017354000,2764,0,0,0,125,61,1112,723,193,550
25017354100,2487,0,0,18,216,47,683,839,281,403
25017354200,2621,0,0,8,237,41,619,929,362,425
25017354300,2949,0,131,93,803,106,670,703,175,268
25017354400,1125,0,0,0,146,35,277,408,78,181
25017354500,2037,0,63,42,111,71,605,684,235,226
25017354600,3565,7,52,144,944,189,905,693,96,535
25017354700,1998,0,12,59,292,101,531,562,189,252
25017354800,1765,0,0,0,328,0,661,449,219,108
25017354900,3841,70,124,221,1307,226,1043,490,153,207
25017355000,2407,47,70,51,640,135,675,485,73,231
25017356100,2334,0,52,56,598,121,617,712,83,95
25017356300,3764,39,25,132,1511,346,762,675,63,211
25017356400,5135,45,12,121,1490,508,1060,1281,134,484
25017356500,4913,12,76,169,1589,219,1745,746,164,193
25017356601,3120,42,12,51,571,73,1150,684,291,246
25017356602,2925,60,24,35,610,88,748,958,170,232
25017356701,4680,16,74,123,1191,70,1359,1244,126,477
25017356702,4956,19,127,64,1386,241,1406,959,242,512
25017357100,2889,0,19,31,534,124,895,836,125,325
25017357200,2089,0,0,62,375,167,593,483,173,236
25017357300,2185,0,99,23,493,53,544,660,165,148
25017357400,1580,11,0,36,262,53,342,423,144,309
25017357500,1742,0,7,21,355,84,558,411,63,243
25017357600,1886,19,0,37,518,111,612,429,61,99
25017357700,2660,9,42,105,1022,140,556,528,136,122
25017357800,2381,0,24,66,541,114,616,530,179,311
25017358100,3694,34,114,36,763,53,862,1092,273,467
25017358300,3577,21,8,91,802,53,953,935,224,490
25017358400,3465,21,23,11,576,102,1154,878,320,380
25017358500,3377,7,33,92,777,107,662,1039,256,404
25017358600,4046,8,5,69,486,113,1142,1338,274,611
25017358700,3320,0,0,18,410,53,1011,1195,272,361
25017359100,4411,24,71,66,1021,378,1314,1172,143,222
25017359300,4771,0,0,79,1296,392,1516,796,254,438
25017360100,812,0,0,0,252,126,219,171,32,12
25017360200,3262,0,0,7,475,101,1070,862,347,400
25017361100,3697,0,46,43,718,130,1427,784,288,261
25017361200,4699,8,144,345,1787,161,1018,829,205,202
25017361300,4007,12,0,28,723,124,1468,1206,220,226
25017362100,3125,0,0,46,254,146,1073,1025,298,283
25017363102,3627,15,101,89,953,182,959,941,187,200
25017363103,2039,0,29,61,365,107,748,541,79,109
25017363104,3939,0,0,41,654,86,1332,1184,185,457
25017363201,2046,0,19,16,368,64,674,666,80,159
25017363202,2272,12,0,43,314,110,905,633,75,180
25017364101,3691,0,39,314,1615,199,874,498,42,110
25017364102,3392,13,27,169,1270,312,882,502,38,179
25017365100,4551,0,50,41,719,152,1652,1186,366,385
25017365201,3626,10,8,118,713,146,1206,932,239,254
25017365202,2770,0,26,105,567,168,980,615,160,149
25017366100,3116,26,8,7,911,184,1024,652,148,156
25017366201,2336,0,17,53,295,86,684,693,369,139
25017366202,3251,19,9,60,444,114,1023,975,375,232
25017367100,2665,0,12,40,433,97,755,780,333,215
25017367200,4351,12,75,85,560,188,1564,1030,619,218
25017368101,4118,0,81,202,1647,247,1010,572,104,255
25017368102,2613,20,54,93,1000,100,735,506,63,42
25017368200,2912,30,16,98,1154,155,606,595,114,144
25017368300,4507,33,297,131,2080,260,1247,379,0,80
25017368400,4241,65,143,316,1098,298,1313,669,186,153
25017368500,2092,10,170,154,707,139,454,214,147,97
25017368600,3663,37,205,164,1384,281,945,508,44,95
25017368700,1568,27,72,233,684,37,278,164,39,34
25017368800,3133,62,210,202,1339,137,819,311,11,42
25017368901,3498,20,98,103,1385,155,1063,403,83,188
25017368902,2445,8,77,257,845,139,618,373,19,109
25017369000,1275,324,64,82,315,51,282,84,47,26
25017369100,3016,57,67,49,1351,278,770,243,132,69
25017370101,4505,106,147,197,1567,385,1075,668,147,213
25017370102,5224,42,132,110,1973,240,1650,840,166,71
25017370201,2993,0,28,27,883,143,1081,691,53,87
25017370202,3224,31,78,45,684,250,849,855,117,315
25017370300,4625,70,424,205,1596,163,1354,564,114,135
25017370400,3815,32,54,153,1228,261,1081,697,124,185
25017373100,3110,27,87,42,582,223,956,702,292,199
25017373200,2975,0,166,244,1287,122,548,419,73,116
25017373300,1848,42,0,39,298,113,639,475,95,147
25017373400,1914,0,4,20,337,125,529,630,107,162
25017373500,3125,0,0,6,258,25,972,990,568,306
25017373600,1863,0,0,15,167,19,507,645,173,337
25017373700,2452,0,0,0,191,78,575,766,514,328
25017373800,3580,0,22,83,664,166,874,970,347,454
25017373900,4826,11,50,39,1131,100,1340,1003,698,454
25017374000,3056,0,17,62,617,135,889,707,225,404
25017374100,3102,0,26,23,725,112,1099,722,166,229
25017374200,2707,18,29,30,305,82,752,791,362,338
25017374300,2211,11,4,17,264,125,562,556,321,351
25017374400,3529,0,24,39,439,24,851,983,808,361
25017374500,3058,0,52,102,608,166,1212,622,204,92
25017374600,3399,0,129,202,1124,199,746,699,170,130
25017374700,3111,12,73,90,737,140,816,654,248,341
25017374800,2652,16,114,41,491,95,635,664,331,265
25017382100,3457,0,45,67,1303,258,1104,460,87,133
25017382200,3454,24,76,23,1078,283,1128,565,143,134
25017382300,4053,0,29,112,896,245,1451,751,373,196
25017382400,2965,12,11,12,1279,127,841,459,114,110
25017382500,3168,0,53,174,756,162,1153,669,70,131
25017382601,3089,32,81,26,724,70,1219,732,85,120
25017382602,2855,32,18,44,786,313,982,558,18,104
25017383101,2609,21,194,292,1557,125,313,59,0,48
25017383102,2727,64,321,452,1420,57,313,100,0,0
25017383200,3629,26,232,203,1927,198,779,213,42,9
25017383300,2216,32,87,200,1011,158,429,219,56,24
25017383400,3774,84,209,229,1778,102,716,546,49,61
25017383501,2938,17,193,169,1491,138,481,315,70,64
25017383502,1711,11,0,71,534,117,477,333,142,26
25017383600,4661,30,75,264,1765,252,1604,519,78,74
25017383700,3690,0,52,121,1577,227,1189,334,138,52
25017383800,4190,38,0,208,1695,361,1168,505,126,89
25017383901,5741,17,44,84,2112,394,1659,1046,219,166
25017383902,3795,4,83,99,976,192,1137,936,199,169
25017384001,901,0,11,26,288,83,298,118,12,65
25017384002,4070,45,95,151,961,183,1378,995,154,108
25017385100,4105,19,29,106,1355,281,1447,654,133,81
25017385201,1802,15,20,61,754,102,532,247,37,34
25017385202,5099,15,73,83,1690,366,1529,1045,134,164
25017386100,2700,0,0,0,424,139,954,728,271,184
25017387100,2734,0,31,82,738,151,1015,571,65,81
25017387201,3952,16,47,135,1440,213,1124,763,136,78
25017387202,2549,15,10,48,683,217,981,404,81,110
25017388100,3263,57,0,16,758,157,1119,862,131,163
25017388200,5364,42,146,588,2808,228,906,545,49,52
25017388300,2415,223,314,361,1055,145,246,55,0,16
25017980000,0,0,0,0,0,0,0,0,0,0
25021400100,3054,15,14,96,408,62,1122,613,242,482
25021400200,3968,106,50,46,489,216,1024,1218,424,395
25021400300,2492,14,38,15,209,46,795,768,270,337
25021400400,3772,0,41,24,451,148,1307,874,426,501
25021400500,4146,0,26,93,413,110,1452,955,467,630
25021400600,3764,0,34,38,401,42,1315,1020,536,378
25021400700,2699,0,0,13,430,128,845,665,275,343
25021400800,3758,28,104,76,744,125,1047,682,517,435
25021400900,2734,13,60,43,546,170,562,551,372,417
25021401000,2189,15,30,38,579,109,613,419,211,175
25021401100,3307,79,17,61,338,67,1019,748,628,350
25021401200,4177,0,99,12,515,94,1265,1137,631,424
25021402101,2642,13,17,84,972,390,754,394,18,0
25021402102,2734,11,97,196,1304,258,487,242,104,35
25021402200,1417,0,11,77,759,134,375,51,10,0
25021402300,3440,0,85,162,1457,292,820,415,182,27
25021402400,3995,0,57,159,1786,333,944,553,94,69
25021402500,3115,0,107,233,876,123,1025,531,109,111
25021403100,4242,0,0,89,595,398,1329,1154,468,209
25021403300,2662,0,42,22,472,122,977,622,248,157
25021403400,4104,31,9,54,702,259,1366,1121,357,205
25021403500,3927,0,64,92,1156,190,1079,866,297,183
25021404100,2452,13,49,67,457,201,573,691,288,113
25021404201,2101,0,12,0,225,51,847,644,244,78
25021404202,2343,0,28,0,250,77,822,680,371,115
25021404301,3150,0,27,42,378,48,1106,970,391,188
25021404302,2273,4,23,35,720,47,688,303,264,189
25021404400,3123,0,59,28,415,164,950,961,298,248
25021405100,3519,0,0,35,525,132,1351,979,301,196
25021406101,3630,0,35,56,1027,211,1110,868,257,66
25021406102,3875,10,0,22,719,230,1574,981,230,109
25021407100,5454,0,126,81,2228,568,1429,767,92,163
25021408101,5184,0,86,197,1951,323,1689,697,185,56
25021408102,3092,0,20,58,1239,331,969,362,77,36
