geoid,total (occupation),top_occ,service,sales,nat_construction,production
25021413300,2558,1168,285,803,127,175
25021413401,1769,829,253,448,168,71
25021413402,2077,1102,252,380,54,289
25021413500,2658,874,491,641,443,209
25021414100,2810,1722,202,702,128,56
25021414200,3656,2488,218,842,37,71
25021414300,2172,1355,183,491,76,67
25021415101,2156,1145,363,491,94,63
25021415102,3811,2213,383,902,140,173
25021415200,2290,1305,160,609,128,88
25021415300,1839,1076,103,518,62,80
25021416101,2695,1603,373,459,68,192
25021416102,1290,742,89,373,49,37
25021416200,3606,1826,545,806,262,167
25021416300,2335,1437,270,455,116,57
25021416400,2936,1563,415,689,139,130
25021417100,2546,1041,521,675,167,142
25021417200,4371,1581,930,1278,258,324
25021417300,1571,1020,87,263,107,94
25021417400,1176,515,202,339,102,18
25021417501,3050,1254,768,614,235,179
25021417502,2710,1048,504,640,219,299
25021417601,3389,1637,689,725,213,125
25021417602,3144,1207,610,823,217,287
25021417701,2810,1379,453,649,206,123
25021417702,1543,812,125,485,9,112
25021417801,2935,1215,603,553,468,96
25021417802,1164,253,378,324,80,129
25021417901,2725,907,618,758,135,307
25021417902,1674,697,210,567,68,132
25021418002,3668,1881,510,789,205,283
25021418003,1601,912,123,337,75,154
25021418004,2026,724,375,403,251,273
25021418101,2040,1071,194,523,173,79
25021418102,2081,857,315,465,256,188
25021418200,3526,1279,572,1006,294,375
25021419100,3163,1248,538,995,233,149
25021419200,2494,999,328,792,261,114
25021419300,1825,661,247,608,161,148
25021419400,1605,400,238,503,240,224
25021419500,1441,655,169,368,166,83
25021419600,3434,1752,363,1022,189,108
25021419700,1753,763,248,539,100,103
25021419800,2227,977,363,566,203,118
25021420100,4321,1562,809,1141,331,478
25021420201,1841,578,406,530,131,196
25021420202,3312,1363,653,722,197,377
25021420301,3635,1246,702,942,183,562
25021420302,3897,1786,628,832,186,465
25021421100,2583,661,485,837,428,172
25021421200,3251,1049,498,858,404,442
25021422100,2902,1258,475,660,325,184
25021422200,3638,1333,492,1265,299,249
25021422301,1503,644,259,286,185,129
