"GEO_ID","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Now married","Margin of Error!!Total!!Male!!Now married","Estimate!!Total!!Male!!Now married!!Married, spouse present","Margin of Error!!Total!!Male!!Now married!!Married, spouse present","Estimate!!Total!!Male!!Now married!!Married, spouse absent","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Male!!Widowed","Margin of Error!!Total!!Male!!Widowed","Estimate!!Total!!Male!!Divorced","Margin of Error!!Total!!Male!!Divorced","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Now married","Margin of Error!!Total!!Female!!Now married","Estimate!!Total!!Female!!Now married!!Married, spouse present","Margin of Error!!Total!!Female!!Now married!!Married, spouse present","Estimate!!Total!!Female!!Now married!!Married, spouse absent","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Female!!Widowed","Margin of Error!!Total!!Female!!Widowed","Estimate!!Total!!Female!!Divorced","Margin of Error!!Total!!Female!!Divorced","Geographic Area Name"
"1400000US25009251800","6379","556","3045","387","1327","351","1455","238","1271","173","184","167","0","127","184","167","147","94","116","68","3334","305","1235","319","1536","223","1269","172","267","122","215","96","52","57","207","112","356","156","Census Tract 2518, Essex County, Massachusetts"
"1400000US25009252101","2671","211","1280","202","350","98","717","197","546","113","171","177","87","98","84","85","63","41","150","91","1391","154","410","113","648","112","541","112","107","60","81","56","26","23","143","67","190","92","Census Tract 2521.01, Essex County, Massachusetts"
"1400000US25009252102","2973","196","1418","139","348","110","971","94","961","90","10","17","0","127","10","17","22","25","77","52","1555","153","303","112","986","88","964","84","22","27","12","20","10","18","159","63","107","72","Census Tract 2521.02, Essex County, Massachusetts"
"1400000US25009252201","2491","163","1069","123","288","108","643","72","638","72","5","11","5","11","0","127","61","43","77","48","1422","139","447","111","646","70","628","71","18","22","6","11","12","19","182","60","147","68","Census Tract 2522.01, Essex County, Massachusetts"
"1400000US25009252202","2549","165","1331","113","438","104","821","74","814","76","7","13","7","13","0","127","12","19","60","46","1218","117","189","80","844","77","824","75","20","24","14","21","6","10","94","52","91","52","Census Tract 2522.02, Essex County, Massachusetts"
"1400000US25009252300","4924","361","2145","329","830","288","925","185","780","145","145","116","64","76","81","85","43","47","347","147","2779","315","991","252","945","163","759","143","186","99","41","38","145","93","405","123","438","152","Census Tract 2523, Essex County, Massachusetts"
"1400000US25009252400","3265","363","1466","204","604","184","714","169","636","161","78","67","49","56","29","32","23","22","125","79","1799","226","689","215","757","153","577","142","180","75","71","50","109","65","101","51","252","100","Census Tract 2524, Essex County, Massachusetts"
"1400000US25009252501","2895","458","1218","297","457","176","592","176","524","151","68","76","35","57","33","55","19","22","150","69","1677","257","550","158","628","170","493","140","135","102","26","40","109","93","333","120","166","92","Census Tract 2525.01, Essex County, Massachusetts"
"1400000US25009252502","3839","268","1780","183","506","111","1144","142","1073","128","71","58","9","15","62","55","70","56","60","42","2059","204","565","153","1103","132","1027","122","76","53","30","37","46","38","183","74","208","91","Census Tract 2525.02, Essex County, Massachusetts"
"1400000US25009252601","5130","284","2300","243","764","214","1301","165","1285","159","16","27","0","127","16","27","86","67","149","81","2830","184","803","188","1401","147","1270","163","131","100","29","34","102","92","368","117","258","97","Census Tract 2526.01, Essex County, Massachusetts"
