"GEO_ID","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Geographic Area Name"
"1400000US25017317301","1093","73","136","68","145","76","231","73","97","46","135","57","60","49","166","74","59","45","64","50","Census Tract 3173.01, Middlesex County, Massachusetts"
"1400000US25017317302","2572","65","115","52","112","81","279","116","784","148","111","65","267","100","197","90","215","96","492","135","Census Tract 3173.02, Middlesex County, Massachusetts"
"1400000US25017318100","2353","60","22","24","278","93","440","93","274","108","306","114","428","99","350","109","125","89","130","69","Census Tract 3181, Middlesex County, Massachusetts"
"1400000US25017318200","1428","37","81","52","8","12","174","52","195","60","179","72","45","34","140","63","73","37","533","105","Census Tract 3182, Middlesex County, Massachusetts"
"1400000US25017318300","2422","82","0","127","174","72","622","128","539","131","536","113","242","101","75","40","83","65","151","64","Census Tract 3183, Middlesex County, Massachusetts"
"1400000US25017318400","1195","54","113","68","31","29","277","72","314","89","162","58","190","65","38","32","31","30","39","34","Census Tract 3184, Middlesex County, Massachusetts"
"1400000US25017320102","1670","45","46","30","149","68","608","95","401","93","96","53","86","37","104","53","19","16","161","68","Census Tract 3201.02, Middlesex County, Massachusetts"
"1400000US25017320103","1012","28","9","15","182","65","233","70","168","70","99","59","99","71","57","46","14","23","151","65","Census Tract 3201.03, Middlesex County, Massachusetts"
"1400000US25017320104","2283","56","96","71","159","58","572","117","451","113","379","125","116","71","156","90","41","46","313","105","Census Tract 3201.04, Middlesex County, Massachusetts"
"1400000US25017321100","3201","135","29","26","386","165","925","209","525","149","598","185","511","157","129","74","36","32","62","61","Census Tract 3211, Middlesex County, Massachusetts"
"1400000US25017321200","2888","109","36","33","146","79","209","91","278","109","361","134","550","181","463","137","184","134","661","157","Census Tract 3212, Middlesex County, Massachusetts"
"1400000US25017321300","3445","127","190","71","122","35","194","88","427","122","206","105","263","109","333","129","431","186","1279","191","Census Tract 3213, Middlesex County, Massachusetts"
"1400000US25017321400","1249","74","69","40","58","39","160","64","322","88","103","46","345","83","124","71","7","13","61","48","Census Tract 3214, Middlesex County, Massachusetts"
"1400000US25017321500","2884","110","87","80","245","126","458","128","166","87","171","86","255","125","169","100","393","184","940","190","Census Tract 3215, Middlesex County, Massachusetts"
"1400000US25017321600","3187","102","0","127","131","95","363","116","343","131","641","155","987","191","321","98","166","109","235","107","Census Tract 3216, Middlesex County, Massachusetts"
"1400000US25017322100","1780","78","37","29","83","49","224","72","349","109","191","68","579","111","95","62","84","69","138","68","Census Tract 3221, Middlesex County, Massachusetts"
"1400000US25017322200","1657","58","89","40","181","68","74","49","298","84","190","104","240","82","184","60","113","82","288","88","Census Tract 3222, Middlesex County, Massachusetts"
"1400000US25017322300","2553","108","87","54","87","54","100","62","340","106","311","105","373","109","335","125","137","96","783","151","Census Tract 3223, Middlesex County, Massachusetts"
"1400000US25017322400","1877","81","89","58","75","62","26","23","365","120","208","70","359","88","184","83","103","83","468","118","Census Tract 3224, Middlesex County, Massachusetts"
"1400000US25017323100","2422","167","116","88","263","98","252","87","280","124","459","151","338","96","210","74","112","63","392","127","Census Tract 3231, Middlesex County, Massachusetts"
