"GEO_ID","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Geographic Area Name"
"1400000US25021417300","2291","246","1700","183","13","24","0","127","371","184","207","157","Census Tract 4173, Norfolk County, Massachusetts"
"1400000US25021417400","2205","190","2125","190","0","127","0","127","70","63","10","20","Census Tract 4174, Norfolk County, Massachusetts"
"1400000US25021417501","5741","433","3614","371","0","127","24","27","1104","285","999","438","Census Tract 4175.01, Norfolk County, Massachusetts"
"1400000US25021417502","4744","366","2704","327","0","127","57","53","1154","183","829","268","Census Tract 4175.02, Norfolk County, Massachusetts"
"1400000US25021417601","5679","373","3849","343","0","127","12","19","1277","288","541","202","Census Tract 4176.01, Norfolk County, Massachusetts"
"1400000US25021417602","5355","411","3945","372","22","36","4","10","720","266","664","299","Census Tract 4176.02, Norfolk County, Massachusetts"
"1400000US25021417701","5215","502","3901","417","0","127","13","20","720","257","581","247","Census Tract 4177.01, Norfolk County, Massachusetts"
"1400000US25021417702","2687","203","2064","287","0","127","100","81","203","92","320","168","Census Tract 4177.02, Norfolk County, Massachusetts"
"1400000US25021417801","5095","314","4820","299","13","20","15","25","180","119","67","49","Census Tract 4178.01, Norfolk County, Massachusetts"
"1400000US25021417802","3177","324","2053","244","0","127","9","15","600","185","515","198","Census Tract 4178.02, Norfolk County, Massachusetts"
"1400000US25021417901","5877","443","4318","377","0","127","13","22","584","225","962","499","Census Tract 4179.01, Norfolk County, Massachusetts"
"1400000US25021417902","3192","303","2300","286","0","127","22","24","530","152","340","114","Census Tract 4179.02, Norfolk County, Massachusetts"
"1400000US25021418002","6720","441","4725","383","36","52","66","67","489","192","1404","285","Census Tract 4180.02, Norfolk County, Massachusetts"
"1400000US25021418003","2542","412","1760","321","35","25","0","127","295","167","452","317","Census Tract 4180.03, Norfolk County, Massachusetts"
"1400000US25021418004","3731","417","2806","454","0","127","18","29","329","195","578","250","Census Tract 4180.04, Norfolk County, Massachusetts"
"1400000US25021418101","4660","625","3581","571","123","126","83","72","450","166","423","236","Census Tract 4181.01, Norfolk County, Massachusetts"
"1400000US25021418102","3384","405","2598","326","22","26","46","42","246","84","472","207","Census Tract 4181.02, Norfolk County, Massachusetts"
"1400000US25021418200","6102","478","4373","504","0","127","23","34","928","279","778","337","Census Tract 4182, Norfolk County, Massachusetts"
"1400000US25021419100","6119","304","5582","279","0","127","0","127","467","176","70","83","Census Tract 4191, Norfolk County, Massachusetts"
"1400000US25021419200","5049","311","4556","286","7","12","0","127","400","129","86","75","Census Tract 4192, Norfolk County, Massachusetts"
"1400000US25021419300","3310","268","2892","279","9","15","0","127","255","90","154","70","Census Tract 4193, Norfolk County, Massachusetts"
"1400000US25021419400","3186","222","2749","202","0","127","45","56","227","110","165","104","Census Tract 4194, Norfolk County, Massachusetts"
"1400000US25021419500","3113","372","2612","304","0","127","62","51","286","134","153","98","Census Tract 4195, Norfolk County, Massachusetts"
"1400000US25021419600","6348","298","5665","294","0","127","40","40","530","148","113","93","Census Tract 4196, Norfolk County, Massachusetts"
"1400000US25021419700","3961","259","3533","274","0","127","23","37","293","130","112","125","Census Tract 4197, Norfolk County, Massachusetts"
"1400000US25021419800","4036","256","3528","294","0","127","54","39","311","119","143","79","Census Tract 4198, Norfolk County, Massachusetts"
"1400000US25021420100","7547","444","5339","448","29","52","23","40","1557","290","599","223","Census Tract 4201, Norfolk County, Massachusetts"
"1400000US25021420201","3604","220","2434","256","60","65","0","127","831","234","279","131","Census Tract 4202.01, Norfolk County, Massachusetts"
"1400000US25021420202","5742","429","3750","447","152","168","17","25","994","255","829","374","Census Tract 4202.02, Norfolk County, Massachusetts"
"1400000US25021420301","6716","501","4297","399","60","76","41","36","1477","352","841","335","Census Tract 4203.01, Norfolk County, Massachusetts"
"1400000US25021420302","8052","496","5594","419","95","100","151","101","1505","329","707","335","Census Tract 4203.02, Norfolk County, Massachusetts"
"1400000US25021421100","5261","228","4489","333","109","105","100","106","367","153","196","133","Census Tract 4211, Norfolk County, Massachusetts"
