"GEO_ID","B25077_001E","B25077_001M","NAME"
"id","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Geographic Area Name"
"1400000US25009267101","338100","25751","Census Tract 2671.01, Essex County, Massachusetts"
"1400000US25009267102","319100","24854","Census Tract 2671.02, Essex County, Massachusetts"
"1400000US25009268100","448300","30140","Census Tract 2681, Essex County, Massachusetts"
"1400000US25009268200","449300","25382","Census Tract 2682, Essex County, Massachusetts"
"1400000US25009268300","380700","22298","Census Tract 2683, Essex County, Massachusetts"
"1400000US25009268400","493300","46291","Census Tract 2684, Essex County, Massachusetts"
"1400000US25009269100","488200","29869","Census Tract 2691, Essex County, Massachusetts"
"1400000US25009270100","447300","20372","Census Tract 2701, Essex County, Massachusetts"
"1400000US25009990100","-","**","Census Tract 9901, Essex County, Massachusetts"
"1400000US25017300100","286700","15865","Census Tract 3001, Middlesex County, Massachusetts"
"1400000US25017301101","290800","14919","Census Tract 3011.01, Middlesex County, Massachusetts"
"1400000US25017301102","292500","9212","Census Tract 3011.02, Middlesex County, Massachusetts"
"1400000US25017310100","204500","18884","Census Tract 3101, Middlesex County, Massachusetts"
"1400000US25017310200","241700","18888","Census Tract 3102, Middlesex County, Massachusetts"
"1400000US25017310300","212700","16164","Census Tract 3103, Middlesex County, Massachusetts"
"1400000US25017310400","190600","14259","Census Tract 3104, Middlesex County, Massachusetts"
"1400000US25017310500","256400","24462","Census Tract 3105, Middlesex County, Massachusetts"
"1400000US25017310601","270500","30495","Census Tract 3106.01, Middlesex County, Massachusetts"
"1400000US25017310602","240400","15680","Census Tract 3106.02, Middlesex County, Massachusetts"
"1400000US25017310700","271000","46472","Census Tract 3107, Middlesex County, Massachusetts"
"1400000US25017311100","253000","128290","Census Tract 3111, Middlesex County, Massachusetts"
"1400000US25017311200","209900","40731","Census Tract 3112, Middlesex County, Massachusetts"
"1400000US25017311300","273700","42868","Census Tract 3113, Middlesex County, Massachusetts"
"1400000US25017311400","287700","30431","Census Tract 3114, Middlesex County, Massachusetts"
"1400000US25017311500","304300","28247","Census Tract 3115, Middlesex County, Massachusetts"
"1400000US25017311600","280900","13673","Census Tract 3116, Middlesex County, Massachusetts"
"1400000US25017311700","237700","16620","Census Tract 3117, Middlesex County, Massachusetts"
"1400000US25017311800","258100","29546","Census Tract 3118, Middlesex County, Massachusetts"
"1400000US25017311900","194900","49106","Census Tract 3119, Middlesex County, Massachusetts"
"1400000US25017312000","210900","51477","Census Tract 3120, Middlesex County, Massachusetts"
"1400000US25017312100","225400","30238","Census Tract 3121, Middlesex County, Massachusetts"
"1400000US25017312200","219700","9169","Census Tract 3122, Middlesex County, Massachusetts"
"1400000US25017312300","238600","17476","Census Tract 3123, Middlesex County, Massachusetts"
"1400000US25017312400","214700","60675","Census Tract 3124, Middlesex County, Massachusetts"
"1400000US25017312501","335700","14870","Census Tract 3125.01, Middlesex County, Massachusetts"
"1400000US25017312502","320700","21498","Census Tract 3125.02, Middlesex County, Massachusetts"
"1400000US25017313101","410800","20087","Census Tract 3131.01, Middlesex County, Massachusetts"
"1400000US25017313102","351000","15050","Census Tract 3131.02, Middlesex County, Massachusetts"
