"GEO_ID","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Geographic Area Name"
"1400000US25017320104","3339","208","2733","243","2714","241","19","29","19","29","0","127","0","127","0","127","0","127","264","106","12","19","0","127","0","127","252","109","0","127","0","127","0","127","0","127","14","22","24","36","304","129","Census Tract 3201.04, Middlesex County, Massachusetts"
"1400000US25017321100","3594","347","3370","350","3018","351","352","212","244","145","0","127","108","163","0","127","0","127","69","53","46","42","0","127","0","127","23","20","0","127","0","127","0","127","0","127","69","60","0","127","86","59","Census Tract 3211, Middlesex County, Massachusetts"
"1400000US25017321200","3381","313","3128","323","2667","331","461","171","396","149","65","71","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","118","102","12","18","123","100","Census Tract 3212, Middlesex County, Massachusetts"
"1400000US25017321300","3989","460","3417","387","2626","341","791","240","529","200","247","208","15","30","0","127","0","127","26","42","26","42","0","127","0","127","0","127","0","127","16","26","12","20","0","127","283","193","85","79","150","86","Census Tract 3213, Middlesex County, Massachusetts"
"1400000US25017321400","2015","182","1874","191","1742","180","132","79","121","77","11","18","0","127","0","127","0","127","34","32","23","26","0","127","11","18","0","127","0","127","0","127","10","17","0","127","32","39","0","127","65","40","Census Tract 3214, Middlesex County, Massachusetts"
"1400000US25017321500","3799","406","3458","408","2966","375","492","230","411","231","26","44","25","30","30","35","0","127","182","107","128","92","0","127","0","127","54","55","0","127","0","127","0","127","0","127","66","73","27","45","66","71","Census Tract 3215, Middlesex County, Massachusetts"
"1400000US25017321600","4411","352","4225","354","3780","359","445","182","353","161","38","33","0","127","41","65","13","21","42","46","20","31","0","127","22","36","0","127","0","127","0","127","0","127","18","27","12","20","22","33","92","71","Census Tract 3216, Middlesex County, Massachusetts"
"1400000US25017322100","2424","183","2296","188","2140","198","156","116","141","113","0","127","15","24","0","127","0","127","9","14","9","14","0","127","0","127","0","127","0","127","9","13","0","127","0","127","25","30","8","12","77","43","Census Tract 3221, Middlesex County, Massachusetts"
"1400000US25017322200","1862","211","1772","203","1638","193","134","71","122","72","0","127","0","127","0","127","12","20","24","26","12","17","0","127","12","19","0","127","0","127","0","127","0","127","0","127","36","32","0","127","30","27","Census Tract 3222, Middlesex County, Massachusetts"
"1400000US25017322300","3354","405","2942","397","2682","395","260","126","249","132","0","127","11","22","0","127","0","127","9","15","0","127","0","127","0","127","9","15","0","127","11","17","16","26","0","127","258","312","0","127","118","66","Census Tract 3223, Middlesex County, Massachusetts"
"1400000US25017322400","2316","201","2235","195","1992","163","243","138","184","130","24","27","35","56","0","127","0","127","11","18","0","127","0","127","0","127","11","18","0","127","0","127","0","127","0","127","0","127","11","19","59","50","Census Tract 3224, Middlesex County, Massachusetts"
"1400000US25017323100","3398","310","3010","326","2868","338","142","81","134","80","8","13","0","127","0","127","0","127","51","42","0","127","0","127","0","127","51","42","0","127","0","127","0","127","0","127","0","127","49","69","288","114","Census Tract 3231, Middlesex County, Massachusetts"
