"GEO_ID","B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Geographic Area Name"
"1400000US25021413401","36.8","2.4","38.0","3.0","35.8","4.6","Census Tract 4134.01, Norfolk County, Massachusetts"
"1400000US25021413402","39.4","2.1","40.7","2.0","37.5","4.6","Census Tract 4134.02, Norfolk County, Massachusetts"
"1400000US25021413500","39.3","1.6","42.1","2.0","35.6","1.9","Census Tract 4135, Norfolk County, Massachusetts"
"1400000US25021414100","37.5","1.5","42.2","2.1","32.7","2.2","Census Tract 4141, Norfolk County, Massachusetts"
"1400000US25021414200","38.2","1.2","42.6","1.8","33.5","1.9","Census Tract 4142, Norfolk County, Massachusetts"
"1400000US25021414300","37.9","1.5","41.5","1.9","34.1","2.0","Census Tract 4143, Norfolk County, Massachusetts"
"1400000US25021415101","38.9","2.0","43.7","2.2","33.9","2.3","Census Tract 4151.01, Norfolk County, Massachusetts"
"1400000US25021415102","39.4","1.2","42.8","1.9","36.2","1.8","Census Tract 4151.02, Norfolk County, Massachusetts"
"1400000US25021415200","41.5","1.3","45.4","1.7","38.2","1.7","Census Tract 4152, Norfolk County, Massachusetts"
"1400000US25021415300","39.7","1.0","43.5","1.7","35.3","1.8","Census Tract 4153, Norfolk County, Massachusetts"
"1400000US25021416101","41.2","1.7","46.9","2.5","36.0","2.4","Census Tract 4161.01, Norfolk County, Massachusetts"
"1400000US25021416102","37.9","3.5","40.6","4.3","34.8","3.9","Census Tract 4161.02, Norfolk County, Massachusetts"
"1400000US25021416200","39.5","1.5","43.3","2.1","36.3","2.1","Census Tract 4162, Norfolk County, Massachusetts"
"1400000US25021416300","38.6","1.6","42.1","2.8","35.1","2.5","Census Tract 4163, Norfolk County, Massachusetts"
"1400000US25021416400","37.3","1.4","41.2","2.3","33.3","1.9","Census Tract 4164, Norfolk County, Massachusetts"
"1400000US25021417100","38.8","1.9","41.6","2.1","36.1","2.7","Census Tract 4171, Norfolk County, Massachusetts"
"1400000US25021417200","38.8","1.4","41.0","1.7","37.0","2.1","Census Tract 4172, Norfolk County, Massachusetts"
"1400000US25021417300","44.4","2.4","45.3","3.8","43.4","3.3","Census Tract 4173, Norfolk County, Massachusetts"
"1400000US25021417400","41.5","2.6","42.3","3.2","40.7","2.9","Census Tract 4174, Norfolk County, Massachusetts"
"1400000US25021417501","39.4","1.6","43.0","2.3","36.1","2.7","Census Tract 4175.01, Norfolk County, Massachusetts"
"1400000US25021417502","38.7","1.4","39.6","2.2","38.0","1.6","Census Tract 4175.02, Norfolk County, Massachusetts"
"1400000US25021417601","36.8","1.9","38.8","2.5","34.9","2.1","Census Tract 4176.01, Norfolk County, Massachusetts"
"1400000US25021417602","37.5","1.4","38.5","2.0","36.5","1.7","Census Tract 4176.02, Norfolk County, Massachusetts"
"1400000US25021417701","44.1","3.0","45.8","3.0","42.0","3.6","Census Tract 4177.01, Norfolk County, Massachusetts"
"1400000US25021417702","39.7","2.4","41.3","3.2","38.2","2.5","Census Tract 4177.02, Norfolk County, Massachusetts"
"1400000US25021417801","38.3","1.3","42.0","1.6","34.7","2.0","Census Tract 4178.01, Norfolk County, Massachusetts"
"1400000US25021417802","36.3","2.0","38.5","3.1","33.8","2.2","Census Tract 4178.02, Norfolk County, Massachusetts"
"1400000US25021417901","38.2","1.8","38.9","2.8","37.3","2.2","Census Tract 4179.01, Norfolk County, Massachusetts"
"1400000US25021417902","40.7","1.5","42.8","2.2","39.1","1.8","Census Tract 4179.02, Norfolk County, Massachusetts"
