,House Prices 2010,Percentage with Bachelor Degree or Higher 2010,Percentage Professional Workers 2010,Household Income 2010,Contract Rent 2010
35,500000.0,19.333816075307748,46.123778501628664,53026.0,1252.0
36,523400.0,12.577962577962579,52.1870286576169,51909.0,1079.0
37,707700.0,43.690773067331676,71.111880845168,106602.0,1731.0
38,595700.0,32.29100191448628,57.903879559930516,61157.0,1327.0
39,594800.0,30.757014293276868,66.27534685165422,82308.0,1599.0
40,669400.0,43.28593996840443,73.29773030707611,120250.0,1610.0
41,603800.0,20.251937984496124,48.75148632580262,51377.0,810.0
42,466600.0,24.14870353014683,61.164304864036765,109028.0,1035.0
43,534200.0,21.26948775055679,42.17791411042945,70026.0,881.0
44,438600.0,15.909090909090908,49.764428739693756,108060.0,1362.0
45,464900.0,22.275834338560514,47.37516005121639,32333.0,377.0
46,436600.0,3.67138128197412,10.441767068273093,30274.0,822.0
47,341000.0,1.9648704971717772,11.704180064308682,51191.0,916.0
48,236800.0,7.384131971720345,20.677966101694913,14505.0,322.0
49,320900.0,5.648414985590778,19.840695148443157,46250.0,875.0
50,287300.0,10.684089162182936,9.285714285714286,40929.0,994.0
51,263300.0,3.3442088091353996,6.734317343173432,41196.0,938.0
52,380600.0,3.2879442045831953,9.040139616055846,54479.0,1008.0
53,334600.0,2.6418786692759295,10.914855072463768,39893.0,897.0
54,351000.0,4.461099214846538,26.510263929618766,39559.0,757.0
55,350700.0,5.9277214631996475,25.77864293659622,51855.0,1071.0
56,316300.0,10.34097261039687,18.32425068119891,43954.0,1044.0
57,417900.0,14.096749811035526,38.07205452775073,70172.0,1060.0
58,426400.0,14.24129353233831,49.78632478632478,83398.0,1409.0
59,386700.0,18.84939195509822,53.76344086021505,80457.0,1183.0
60,438300.0,19.19463087248322,51.1954096270322,71711.0,974.0
61,385200.0,20.28428736073761,56.559051900286065,89922.0,1194.0
62,,,,,
63,353500.0,13.75044185224461,48.96907216494845,75814.0,1086.0
64,391800.0,6.83850604944766,33.33333333333333,26056.0,422.0
65,423700.0,18.41216216216216,59.74395448079659,66179.0,1200.0
66,695900.0,34.7327091513138,63.47595941773269,41786.0,1364.0
67,471800.0,5.1020408163265305,22.893860066634936,18224.0,697.0
68,668300.0,34.79108635097493,70.43142756927394,106337.0,1564.0
69,,,,,
70,644800.0,20.247349823321557,62.40786240786241,81331.0,1268.0
71,616700.0,38.61997940267765,65.88235294117646,87222.0,1658.0
72,672100.0,31.94905869324474,65.6800563777308,59048.0,936.0
73,632600.0,31.85483870967742,45.214979195561725,45172.0,930.0
74,501600.0,27.535606387570134,50.317002881844374,41364.0,525.0
75,398300.0,25.425392670157066,55.977710233029384,42317.0,938.0
76,624400.0,14.168564920273349,49.55393349553934,37098.0,391.0
77,394400.0,4.614549402823019,33.43701399688958,46492.0,535.0
78,379200.0,0.0,27.964601769911507,30362.0,453.0
79,241900.0,6.281227694503926,20.739549839228296,15073.0,513.0
80,165100.0,0.0,24.84394506866417,15481.0,452.0
81,149600.0,19.762419006479483,33.41815097540288,18897.0,543.0
82,833300.0,8.801498127340825,22.063037249283667,15588.0,343.0
83,595900.0,39.59085439229844,44.36958614051973,33750.0,1356.0
84,318900.0,14.425516491482421,41.38077085980517,32835.0,669.0
85,263200.0,16.08357628765792,53.59683794466403,46250.0,1209.0
86,365800.0,13.200000000000001,40.630630630630634,25472.0,331.0
87,413800.0,4.155027932960894,22.285308729595457,16835.0,322.0
88,419900.0,19.466019417475728,56.2534435261708,54718.0,1082.0
89,275000.0,11.120331950207468,33.55263157894737,45357.0,900.0
90,363700.0,7.746126936531734,27.908689248895435,35781.0,654.0
91,331200.0,6.998813760379596,29.6875,45000.0,817.0
92,325500.0,8.823529411764707,29.975629569455727,43853.0,816.0
93,423200.0,9.573810994441013,40.54500412881916,41172.0,759.0
94,475500.0,7.14828897338403,33.23152107513745,20700.0,338.0
95,395200.0,4.383758533956163,21.853607161664033,30389.0,811.0
96,427900.0,7.761732851985561,21.09256449165402,16055.0,381.0
97,569600.0,2.950075642965204,13.618677042801556,16495.0,644.0
98,343500.0,2.983539094650206,26.74982674982675,34659.0,514.0
99,363300.0,6.90010298661174,26.75086107921929,44141.0,1017.0
