,RANK_10,RANK_19,SES_10,SES_19,SES_ASC,SES_PR_10,SES_PR_19,SES_PR_ASC
100,99.0,84.0,-1.2381547443983216,0.17608538962770484,1.4142401340260264,37.57961783439491,47.13375796178344,9.554140127388528
101,67.0,66.0,-0.6151595265006816,0.852955631404954,1.4681151579056357,57.961783439490446,58.59872611464968,0.6369426751592329
102,82.0,81.0,-0.9172839498008608,0.3279660197202298,1.2452499695210906,48.40764331210191,49.044585987261144,0.6369426751592329
103,108.0,95.0,-1.4391900441398726,-0.18773414466765648,1.2514558994722162,31.84713375796178,40.12738853503185,8.280254777070066
104,107.0,138.0,-1.425973253387015,-1.1934282157663854,0.23254503762062972,32.48407643312102,12.738853503184714,-19.745222929936304
105,145.0,148.0,-1.9640355574069879,-1.5429909319396165,0.4210446254673714,8.280254777070063,6.369426751592357,-1.9108280254777057
106,113.0,109.0,-1.5254366276222078,-0.5974273282316744,0.9280092993905333,28.662420382165603,31.210191082802545,2.547770700636942
107,123.0,132.0,-1.6348530310417575,-1.0661050042152305,0.568748026826527,22.29299363057325,16.560509554140125,-5.732484076433124
108,120.0,124.0,-1.6054469248044034,-0.8822488412535457,0.7231980835508577,24.203821656050955,21.656050955414013,-2.547770700636942
109,136.0,146.0,-1.7971878956235072,-1.5285532861901172,0.26863460943339,14.012738853503185,7.643312101910828,-6.369426751592357
110,127.0,133.0,-1.6867613561240498,-1.1199105080124265,0.5668508481116232,19.745222929936308,15.92356687898089,-3.8216560509554167
111,111.0,123.0,-1.4889259984044356,-0.8797962599676209,0.6091297384368147,29.936305732484076,22.29299363057325,-7.643312101910826
112,109.0,112.0,-1.469325796953244,-0.6243305720145589,0.8449952249386852,31.210191082802545,29.29936305732484,-1.9108280254777057
113,72.0,88.0,-0.7010394336829479,0.04968794484079625,0.750727378523744,54.77707006369427,44.5859872611465,-10.191082802547768
114,112.0,119.0,-1.4943037825543073,-0.8594305073973552,0.6348732751569521,29.29936305732484,24.840764331210192,-4.458598726114648
115,143.0,154.0,-1.949436547931085,-1.6505447658422516,0.29889178208883327,9.554140127388536,2.547770700636943,-7.006369426751593
116,154.0,155.0,-2.304035141112569,-1.7130650924503648,0.5909700486622043,2.547770700636943,1.910828025477707,-0.636942675159236
117,134.0,135.0,-1.7933154856044184,-1.1292432413959266,0.6640722442084919,15.286624203821656,14.64968152866242,-0.6369426751592364
118,140.0,120.0,-1.8617013089568126,-0.8651240111169383,0.9965772978398744,11.464968152866243,24.203821656050955,12.738853503184712
119,106.0,118.0,-1.4191153168451074,-0.8439973873914812,0.5751179294536262,33.12101910828025,25.477707006369428,-7.643312101910823
120,89.0,105.0,-1.1178555280346392,-0.5133745889423171,0.604480939092322,43.94904458598726,33.75796178343949,-10.191082802547768
121,110.0,96.0,-1.4886333798579434,-0.18854587744959767,1.3000875024083458,30.573248407643312,39.490445859872615,8.917197452229303
122,102.0,82.0,-1.3288298550158952,0.2940311531477149,1.6228610081636101,35.6687898089172,48.40764331210191,12.738853503184714
123,75.0,90.0,-0.771023721166379,-0.007156044415481658,0.7638676767508973,52.86624203821656,43.31210191082803,-9.554140127388536
124,80.0,78.0,-0.8858338279550917,0.45396879823619146,1.3398026261912832,49.681528662420384,50.955414012738856,1.2738853503184728
125,96.0,89.0,-1.20800364105536,-0.0005608417952454491,1.2074427992601147,39.490445859872615,43.94904458598726,4.458598726114644
126,100.0,126.0,-1.2391461387432188,-0.9323475102641149,0.3067986284791039,36.94267515923567,20.382165605095544,-16.560509554140125
127,138.0,136.0,-1.8210920250172082,-1.1434014108021666,0.6776906142150416,12.738853503184714,14.012738853503185,1.273885350318471
128,101.0,111.0,-1.2438810558891609,-0.6202997620953472,0.6235812937938137,36.30573248407643,29.936305732484076,-6.3694267515923535
129,114.0,128.0,-1.5513266982407306,-0.9744528611153553,0.5768738371253752,28.02547770700637,19.10828025477707,-8.9171974522293
130,77.0,74.0,-0.8319468321355898,0.5965689035835245,1.4285157357191145,51.59235668789809,53.503184713375795,1.9108280254777057
131,126.0,140.0,-1.6546106328188719,-1.2499094015660295,0.4047012312528424,20.382165605095544,11.464968152866243,-8.917197452229301
132,70.0,99.0,-0.6866177910553128,-0.23513258433755171,0.45148520671776116,56.05095541401274,37.57961783439491,-18.47133757961783
133,87.0,100.0,-1.0795367206197932,-0.24081757544809987,0.8387191451716933,45.22292993630573,36.94267515923567,-8.280254777070063
134,86.0,72.0,-1.0628476464577068,0.7193686230371045,1.7822162694948114,45.85987261146497,54.77707006369427,8.917197452229296
135,39.0,73.0,0.08554931271168971,0.6068565051949375,0.5213071924832477,75.79617834394905,54.14012738853503,-21.656050955414024
136,81.0,77.0,-0.9005962038117733,0.5085811724260886,1.4091773762378619,49.044585987261144,51.59235668789809,2.5477707006369457
137,18.0,50.0,0.7072326886693469,1.3373414419530278,0.630108753283681,89.171974522293,68.78980891719745,-20.38216560509555
138,33.0,52.0,0.277457125281877,1.3140450240840862,1.0365878988022093,79.61783439490446,67.51592356687898,-12.101910828025481
139,1.0,8.0,3.222047198843229,4.049642575723521,0.8275953768802919,100.0,95.54140127388536,-4.458598726114644
140,44.0,37.0,-0.047506377009404986,1.745487107088774,1.7929934840981792,72.61146496815286,77.07006369426752,4.4585987261146585
141,,7.0,,4.091402549399379,,,96.17834394904459,
142,59.0,60.0,-0.5017272652439053,0.9391262258520505,1.4408534910959558,63.05732484076433,62.42038216560509,-0.63694267515924
143,64.0,64.0,-0.5773178103363615,0.8851804036845984,1.46249821402096,59.87261146496815,59.87261146496815,0.0
