"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4457","297","3393","278","142","126","39","59","551","167","0","12","69","52","263","114","96","79","167","88","1400000US25017351203","Census Tract 3512.03, Middlesex County, Massachusetts"
"4711","563","3560","569","178","106","13","17","782","283","0","12","99","78","79","48","25","31","54","34","1400000US25017351204","Census Tract 3512.04, Middlesex County, Massachusetts"
"4171","476","2620","417","277","154","0","12","575","363","0","12","249","261","450","357","17","28","433","357","1400000US25017351300","Census Tract 3513, Middlesex County, Massachusetts"
"4774","617","2981","620","226","189","0","12","658","312","0","12","362","341","547","425","0","12","547","425","1400000US25017351403","Census Tract 3514.03, Middlesex County, Massachusetts"
"3791","398","2868","450","159","136","0","12","424","161","0","12","134","211","206","132","58","80","148","111","1400000US25017351404","Census Tract 3514.04, Middlesex County, Massachusetts"
"2313","261","1665","265","280","181","0","12","200","84","0","12","127","116","41","39","0","12","41","39","1400000US25017351500","Census Tract 3515, Middlesex County, Massachusetts"
"2669","290","1692","261","198","120","0","12","608","150","0","12","103","72","68","48","20","29","48","36","1400000US25017352101","Census Tract 3521.01, Middlesex County, Massachusetts"
"2489","275","1761","236","66","59","0","12","496","184","0","12","8","23","158","135","16","22","142","131","1400000US25017352102","Census Tract 3521.02, Middlesex County, Massachusetts"
"1762","189","1286","157","257","155","0","12","103","69","0","12","38","49","78","51","20","33","58","43","1400000US25017352200","Census Tract 3522, Middlesex County, Massachusetts"
"4725","364","2800","345","217","122","0","12","1203","315","13","24","193","213","299","176","8","14","291","176","1400000US25017352300","Census Tract 3523, Middlesex County, Massachusetts"
"2086","172","902","160","738","211","0","12","268","125","0","12","100","57","78","53","40","42","38","32","1400000US25017352400","Census Tract 3524, Middlesex County, Massachusetts"
"2864","284","2052","317","294","152","0","12","463","214","0","12","0","12","55","46","0","12","55","46","1400000US25017352500","Census Tract 3525, Middlesex County, Massachusetts"
"2893","257","2284","382","228","206","4","10","231","97","0","12","96","76","50","42","17","27","33","30","1400000US25017352600","Census Tract 3526, Middlesex County, Massachusetts"
"2250","258","1294","202","478","104","12","20","317","206","0","12","48","52","101","72","0","12","101","72","1400000US25017352700","Census Tract 3527, Middlesex County, Massachusetts"
