"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1784","85","101","43","10","14","36","47","130","64","209","82","120","81","87","49","69","57","118","65","904","121","1400000US25025010500","Census Tract 105, Suffolk County, Massachusetts"
"2773","85","131","64","221","122","815","153","138","89","267","105","335","158","350","115","53","34","53","56","410","128","1400000US25025010600","Census Tract 106, Suffolk County, Massachusetts"
"1642","82","0","12","25","35","11","17","37","27","76","62","45","41","72","52","25","23","112","63","1239","113","1400000US25025010701","Census Tract 107.01, Suffolk County, Massachusetts"
"1675","58","0","12","0","12","0","12","26","33","70","51","102","61","9","13","28","24","37","30","1403","103","1400000US25025010702","Census Tract 107.02, Suffolk County, Massachusetts"
"1935","90","0","12","0","12","39","44","0","12","20","23","70","35","149","74","55","53","58","45","1544","114","1400000US25025010801","Census Tract 108.01, Suffolk County, Massachusetts"
"2162","66","0","12","0","12","13","20","12","16","17","19","25","24","115","65","66","37","78","40","1836","101","1400000US25025010802","Census Tract 108.02, Suffolk County, Massachusetts"
"2983","136","0","12","0","12","15","24","0","12","12","16","25","29","128","130","138","61","40","42","2625","176","1400000US25025020101","Census Tract 201.01, Suffolk County, Massachusetts"
"2437","98","0","12","0","12","24","28","17","28","46","42","72","46","12","15","129","77","41","37","2096","139","1400000US25025020200","Census Tract 202, Suffolk County, Massachusetts"
"1392","69","0","12","32","29","202","75","115","60","134","75","320","93","484","109","54","27","31","49","20","24","1400000US25025020301","Census Tract 203.01, Suffolk County, Massachusetts"
"728","38","5","7","0","12","0","12","0","12","23","17","32","29","12","13","51","36","15","15","590","56","1400000US25025020302","Census Tract 203.02, Suffolk County, Massachusetts"
"2727","46","633","161","238","117","218","106","212","69","64","41","758","150","529","136","48","41","0","12","27","23","1400000US25025020303","Census Tract 203.03, Suffolk County, Massachusetts"
"1401","59","0","12","0","12","63","56","55","46","14","22","51","29","39","31","51","38","102","44","1026","110","1400000US25025030100","Census Tract 301, Suffolk County, Massachusetts"
"1091","69","0","12","18","17","27","23","41","43","4","6","177","89","90","61","51","32","53","38","630","113","1400000US25025030200","Census Tract 302, Suffolk County, Massachusetts"
