"B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","GEO_ID","NAME"
"Estimate!!Mean usual hours--!!Total:","Margin of Error!!Mean usual hours--!!Total:","Estimate!!Mean usual hours--!!Total:!!Male","Margin of Error!!Mean usual hours--!!Total:!!Male","Estimate!!Mean usual hours--!!Total:!!Female","Margin of Error!!Mean usual hours--!!Total:!!Female","id","Geographic Area Name"
"41.2","2.4","41.8","3.0","40.5","4.2","1400000US25009250100","Census Tract 2501, Essex County, Massachusetts"
"34.4","2.2","38.1","3.1","32.2","2.5","1400000US25009250200","Census Tract 2502, Essex County, Massachusetts"
"36.8","1.7","37.8","2.4","35.7","2.7","1400000US25009250300","Census Tract 2503, Essex County, Massachusetts"
"34.4","2.0","35.5","3.0","33.5","2.3","1400000US25009250400","Census Tract 2504, Essex County, Massachusetts"
"36.9","1.4","40.0","1.8","33.3","2.3","1400000US25009250500","Census Tract 2505, Essex County, Massachusetts"
"35.7","1.4","37.3","1.9","34.2","2.4","1400000US25009250600","Census Tract 2506, Essex County, Massachusetts"
"37.2","1.6","40.1","2.0","33.9","1.6","1400000US25009250700","Census Tract 2507, Essex County, Massachusetts"
"35.7","1.5","36.8","1.9","34.3","2.6","1400000US25009250800","Census Tract 2508, Essex County, Massachusetts"
"35.6","2.1","34.0","3.2","36.9","3.0","1400000US25009250900","Census Tract 2509, Essex County, Massachusetts"
"36.5","1.7","37.1","2.3","35.7","3.3","1400000US25009251000","Census Tract 2510, Essex County, Massachusetts"
"36.4","2.9","39.2","4.1","33.2","3.1","1400000US25009251100","Census Tract 2511, Essex County, Massachusetts"
"37.5","1.9","38.3","2.9","36.9","2.5","1400000US25009251200","Census Tract 2512, Essex County, Massachusetts"
"35.8","1.7","39.8","2.0","31.4","2.2","1400000US25009251300","Census Tract 2513, Essex County, Massachusetts"
"36.5","1.5","37.9","1.9","34.5","1.8","1400000US25009251400","Census Tract 2514, Essex County, Massachusetts"
"35.8","1.6","38.6","2.1","33.5","2.1","1400000US25009251500","Census Tract 2515, Essex County, Massachusetts"
"35.6","1.8","36.6","2.2","34.8","2.2","1400000US25009251600","Census Tract 2516, Essex County, Massachusetts"
"38.5","1.6","41.1","1.7","35.8","2.2","1400000US25009251700","Census Tract 2517, Essex County, Massachusetts"
"39.0","1.2","40.2","1.7","37.7","1.8","1400000US25009251800","Census Tract 2518, Essex County, Massachusetts"
"39.6","2.1","42.7","3.3","36.9","1.6","1400000US25009252101","Census Tract 2521.01, Essex County, Massachusetts"
"37.4","1.4","37.3","2.2","37.4","2.0","1400000US25009252102","Census Tract 2521.02, Essex County, Massachusetts"
"35.9","2.7","37.8","3.2","33.9","3.0","1400000US25009252201","Census Tract 2522.01, Essex County, Massachusetts"
"38.1","1.5","41.3","1.7","34.9","2.8","1400000US25009252202","Census Tract 2522.02, Essex County, Massachusetts"
"36.6","1.4","39.4","1.9","34.0","2.3","1400000US25009252300","Census Tract 2523, Essex County, Massachusetts"
"34.3","1.5","35.3","2.0","33.4","1.9","1400000US25009252400","Census Tract 2524, Essex County, Massachusetts"
"37.0","1.8","41.9","1.9","32.7","2.3","1400000US25009252501","Census Tract 2525.01, Essex County, Massachusetts"
"38.1","1.2","39.3","1.8","36.7","1.7","1400000US25009252502","Census Tract 2525.02, Essex County, Massachusetts"
"38.3","1.2","41.7","1.8","35.1","1.4","1400000US25009252601","Census Tract 2526.01, Essex County, Massachusetts"
"38.8","1.3","42.0","2.2","35.6","1.8","1400000US25009252602","Census Tract 2526.02, Essex County, Massachusetts"
"38.7","2.0","40.1","2.8","37.1","2.3","1400000US25009252603","Census Tract 2526.03, Essex County, Massachusetts"
"37.2","1.6","41.1","2.4","34.1","2.3","1400000US25009253100","Census Tract 2531, Essex County, Massachusetts"
"37.8","1.6","42.0","2.1","34.0","2.0","1400000US25009253201","Census Tract 2532.01, Essex County, Massachusetts"
"37.6","1.8","40.1","2.7","34.5","1.9","1400000US25009253202","Census Tract 2532.02, Essex County, Massachusetts"
"38.5","2.1","42.0","2.0","34.0","4.4","1400000US25009253203","Census Tract 2532.03, Essex County, Massachusetts"
"39.1","1.6","43.9","2.5","33.7","2.0","1400000US25009253204","Census Tract 2532.04, Essex County, Massachusetts"
"39.7","1.5","44.3","2.0","35.1","2.2","1400000US25009253205","Census Tract 2532.05, Essex County, Massachusetts"
"39.4","1.6","43.3","1.8","35.4","2.4","1400000US25009254100","Census Tract 2541, Essex County, Massachusetts"
"34.6","1.5","38.0","2.1","31.0","2.2","1400000US25009254200","Census Tract 2542, Essex County, Massachusetts"
"40.3","1.6","44.8","1.8","35.0","3.3","1400000US25009254301","Census Tract 2543.01, Essex County, Massachusetts"
"39.5","1.5","41.1","2.1","37.8","2.1","1400000US25009254302","Census Tract 2543.02, Essex County, Massachusetts"
"40.7","1.4","42.8","1.6","38.1","2.0","1400000US25009254401","Census Tract 2544.01, Essex County, Massachusetts"
"38.9","1.6","42.2","2.0","35.3","2.1","1400000US25009254402","Census Tract 2544.02, Essex County, Massachusetts"
"38.1","1.6","43.5","2.1","32.2","2.4","1400000US25009254403","Census Tract 2544.03, Essex County, Massachusetts"
"38.6","2.2","40.2","3.1","37.0","2.9","1400000US25009260100","Census Tract 2601, Essex County, Massachusetts"
"34.7","2.6","36.8","3.1","33.0","2.7","1400000US25009260200","Census Tract 2602, Essex County, Massachusetts"
"38.6","1.2","44.0","1.9","33.3","1.7","1400000US25009260301","Census Tract 2603.01, Essex County, Massachusetts"
