"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"546600","40740","1400000US25009254200","Census Tract 2542, Essex County, Massachusetts"
"756800","57721","1400000US25009254301","Census Tract 2543.01, Essex County, Massachusetts"
"626400","22661","1400000US25009254302","Census Tract 2543.02, Essex County, Massachusetts"
"629100","15500","1400000US25009254401","Census Tract 2544.01, Essex County, Massachusetts"
"633400","26820","1400000US25009254402","Census Tract 2544.02, Essex County, Massachusetts"
"615400","32460","1400000US25009254403","Census Tract 2544.03, Essex County, Massachusetts"
"217900","70106","1400000US25009260100","Census Tract 2601, Essex County, Massachusetts"
"237900","30089","1400000US25009260200","Census Tract 2602, Essex County, Massachusetts"
"305000","23455","1400000US25009260301","Census Tract 2603.01, Essex County, Massachusetts"
"342000","21464","1400000US25009260302","Census Tract 2603.02, Essex County, Massachusetts"
"290200","10272","1400000US25009260401","Census Tract 2604.01, Essex County, Massachusetts"
"370000","28648","1400000US25009260402","Census Tract 2604.02, Essex County, Massachusetts"
"353100","11200","1400000US25009260500","Census Tract 2605, Essex County, Massachusetts"
"272900","30607","1400000US25009260600","Census Tract 2606, Essex County, Massachusetts"
"266100","11334","1400000US25009260700","Census Tract 2607, Essex County, Massachusetts"
"255000","37137","1400000US25009260800","Census Tract 2608, Essex County, Massachusetts"
"263100","46367","1400000US25009260900","Census Tract 2609, Essex County, Massachusetts"
"266500","21901","1400000US25009261000","Census Tract 2610, Essex County, Massachusetts"
"354200","16796","1400000US25009261101","Census Tract 2611.01, Essex County, Massachusetts"
"242000","13540","1400000US25009261102","Census Tract 2611.02, Essex County, Massachusetts"
"362600","22639","1400000US25009262100","Census Tract 2621, Essex County, Massachusetts"
"570400","29384","1400000US25009263100","Census Tract 2631, Essex County, Massachusetts"
"406700","22352","1400000US25009264100","Census Tract 2641, Essex County, Massachusetts"
"417900","30867","1400000US25009265101","Census Tract 2651.01, Essex County, Massachusetts"
"492300","31451","1400000US25009265102","Census Tract 2651.02, Essex County, Massachusetts"
"384800","14744","1400000US25009266100","Census Tract 2661, Essex County, Massachusetts"
"307600","29120","1400000US25009266200","Census Tract 2662, Essex County, Massachusetts"
"340800","17820","1400000US25009266300","Census Tract 2663, Essex County, Massachusetts"
