"B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","id","Geographic Area Name"
"3900","431","2495","464","1980","402","515","311","371","277","129","111","0","17","15","28","0","17","1146","350","231","178","915","292","0","17","0","17","0","17","0","17","0","17","93","140","94","75","45","51","27","44","1400000US25017341200","Census Tract 3412, Middlesex County, Massachusetts"
"2639","520","1344","423","1079","379","265","175","187","161","32","43","11","25","35","59","0","17","1042","234","14","33","1028","231","0","17","0","17","0","17","0","17","0","17","0","17","158","128","14","23","81","109","1400000US25017341300","Census Tract 3413, Middlesex County, Massachusetts"
"3498","607","2061","596","1757","535","304","251","304","251","0","17","0","17","0","17","0","17","1142","408","167","147","975","434","0","17","0","17","0","17","0","17","0","17","0","17","186","153","0","17","109","84","1400000US25017341400","Census Tract 3414, Middlesex County, Massachusetts"
"2686","437","1564","230","1370","222","194","89","84","62","51","40","24","38","11","16","24","36","928","285","256","195","628","245","44","52","0","17","0","17","28","45","0","17","17","29","74","60","7","11","68","68","1400000US25017341500","Census Tract 3415, Middlesex County, Massachusetts"
"3226","372","2068","371","1740","318","328","160","328","160","0","17","0","17","0","17","0","17","878","239","159","135","678","190","41","50","0","17","0","17","0","17","0","17","0","17","67","64","127","148","86","68","1400000US25017341600","Census Tract 3416, Middlesex County, Massachusetts"
"2698","335","2009","290","1766","283","243","127","113","89","82","66","0","17","48","56","0","17","494","168","95","99","384","144","15","26","0","17","0","17","0","17","0","17","0","17","37","41","15","25","143","97","1400000US25017341700","Census Tract 3417, Middlesex County, Massachusetts"
"2818","486","2038","449","1771","378","267","214","164","122","0","17","103","168","0","17","0","17","643","265","218","144","411","221","14","24","0","17","0","17","0","17","0","17","10","15","0","17","71","79","56","64","1400000US25017341800","Census Tract 3418, Middlesex County, Massachusetts"
"739","72","635","83","543","74","92","45","77","38","5","8","10","17","0","12","0","12","93","42","41","31","48","27","4","7","0","12","0","12","0","12","0","12","0","12","0","12","7","11","4","7","1400000US25017341901","Census Tract 3419.01, Middlesex County, Massachusetts"
"4605","421","3572","479","3196","492","376","175","334","159","0","17","42","66","0","17","0","17","806","292","230","131","576","254","0","17","0","17","0","17","0","17","0","17","0","17","100","112","0","17","127","105","1400000US25017341902","Census Tract 3419.02, Middlesex County, Massachusetts"
"2506","376","1479","245","1169","238","310","132","256","111","23","25","31","49","0","17","0","17","685","268","395","232","290","140","0","17","0","17","0","17","46","56","0","17","45","49","156","100","46","55","49","49","1400000US25017342101","Census Tract 3421.01, Middlesex County, Massachusetts"
"2094","256","1424","289","1157","232","267","165","177","124","22","25","36","45","32","36","0","12","488","210","246","115","242","134","0","12","0","12","0","12","0","12","0","12","0","12","108","95","34","42","40","36","1400000US25017342102","Census Tract 3421.02, Middlesex County, Massachusetts"
"2773","265","2013","267","1395","238","618","228","434","212","110","119","74","84","0","17","0","17","534","157","259","113","266","120","9","15","0","17","0","17","11","17","0","17","0","17","166","98","10","18","39","48","1400000US25017342201","Census Tract 3422.01, Middlesex County, Massachusetts"
"2067","242","1592","239","1359","193","233","121","196","116","26","25","0","12","11","16","0","12","326","111","244","100","82","51","0","12","0","12","0","12","13","22","0","12","13","21","70","53","25","34","28","28","1400000US25017342202","Census Tract 3422.02, Middlesex County, Massachusetts"
